Tiempo;average(B);average(A)
(ms);(V);(V)

-25,00145778;-0,03056703;-0,00445111
-24,99121778;-0,03051472;0,00014515
-24,98097778;-0,03029588;0,00426701
-24,97073778;-0,02979687;0,00926708
-24,96049778;-0,02767026;0,01383382
-24,95025778;-0,01602128;0,01788809
-24,94001778;0,01066358;0,02172535
-24,92977778;0,03032109;0,02698718
-24,91953778;0,03038260;0,03147962
-24,90929778;0,02745067;0,03641158
-24,89905778;0,02820310;0,04046672
-24,88881778;0,02869331;0,04590805
-24,87857778;0,02846568;0,05025455
-24,86833778;0,02841321;0,05420145
-24,85809778;0,02849186;0,05847496
-24,84785779;0,02850953;0,06274956
-24,83761779;0,02859703;0,06735302
-24,82737779;0,02849197;0,07221281
-24,81713779;0,02846567;0,07615911
-24,80689779;0,02860571;0,08057951
-24,79665779;0,02848323;0,08536529
-24,78641779;0,02853569;0,08931052
-24,77617779;0,02854447;0,09336220
-24,76593779;0,02856202;0,09792391
-24,75569779;0,02855318;0,10208830
-24,74545779;0,02856194;0,10661730
-24,73521779;0,02860575;0,11067270
-24,72497779;0,02864949;0,11564200
-24,71473779;0,02850066;0,11984380
-24,70449779;0,02862324;0,12459310
-24,69425779;0,02854450;0,12806450
-24,68401779;0,02865830;0,13314290
-24,67377779;0,02858820;0,13672340
-24,66353779;0,02862326;0,14147250
-24,65329779;0,02856205;0,14545190
-24,64305779;0,02860574;0,15001820
-24,63281779;0,02847454;0,15440220
-24,62257779;0,02861449;0,15823760
-24,61233779;0,02854447;0,16225780
-24,60209779;0,02861451;0,16598370
-24,59185779;0,02858834;0,17102500
-24,58161779;0,02856199;0,17522660
-24,57137779;0,02859697;0,17939270
-24,56113779;0,02862323;0,18348490
-24,55089779;0,02852703;0,18834320
-24,54065779;0,02855326;0,19100760
-24,53041779;0,02851824;0,19516680
-24,52017779;0,02860577;0,19896350
-24,50993779;0,02854450;0,20371310
-24,49969779;0,02848317;0,20656410
-24,48945779;0,02855321;0,21156930
-24,47921779;0,02858833;0,21525810
-24,46897779;0,02848320;0,21869210
-24,45873779;0,02854450;0,22278440
-24,44849779;0,02849185;0,22662160
-24,43825779;0,02852698;0,23045790
-24,42801779;0,02856199;0,23370900
-24,41777779;0,02851827;0,23736260
-24,40753779;0,02856192;0,24170810
-24,39729779;0,02849206;0,24528610
-24,38705779;0,02850952;0,24905030
-24,37681779;0,02851821;0,25222960
-24,36657779;0,02854449;0,25613830
-24,35633779;0,02851815;0,26022990
-24,34609779;0,02856204;0,26457710
-24,33585779;0,02850063;0,26764620
-24,32561779;0,02855319;0,27111710
-24,31537779;0,02845691;0,27425830
-24,30513779;0,02850958;0,27802210
-24,29489779;0,02847447;0,28171190
-24,28465779;0,02853560;0,28525660
-24,27441779;0,02855315;0,28792350
-24,26417779;0,02858822;0,29208290
-24,25393779;0,02851817;0,29547610
-24,24369779;0,02848322;0,29847150
-24,23345779;0,02857077;0,30190580
-24,22321779;0,02850066;0,30475450
-24,21297779;0,02845693;0,30691060
-24,20273779;0,02846568;0,31089380
-24,19249779;0,02848320;0,31425540
-24,18225779;0,02849203;0,31812820
-24,17201779;0,02843945;0,32079490
-24,16177779;0,02846571;0,32353370
-24,15153779;0,02848334;0,32671290
-24,14129779;0,02846567;0,33003610
-24,13105779;0,02853572;0,33295710
-24,12081779;0,02844823;0,33591490
-24,11057779;0,02843944;0,33909420
-24,10033779;0,02846576;0,34088530
-24,09009779;0,02839563;0,34395380
-24,07985779;0,02842193;0,34683970
-24,06961779;0,02852701;0,34998210
-24,05937779;0,02845696;0,35213770
-24,04913779;0,02844825;0,35582750
-24,03889779;0,02846571;0,35765480
-24,02865779;0,02838700;0,36028570
-24,01841779;0,02842198;0,36273330
-24,00817779;0,02843947;0,36525420
-23,99793779;0,02838692;0,36810390
-23,98769779;0,02835182;0,37007640
-23,97745779;0,02842198;0,37248670
-23,96721779;0,02844818;0,37508150
-23,95697779;0,02844819;0,37701840
-23,94673779;0,02841324;0,37924490
-23,93649779;0,02836945;0,38117810
-23,92625779;0,02838689;0,38318450
-23,91601779;0,02836071;0,38537420
-23,90577779;0,02831691;0,38749260
-23,89553779;0,02840447;0,38961260
-23,88529779;0,02842195;0,39187690
-23,87505779;0,02837820;0,39410540
-23,86481779;0,02841324;0,39530990
-23,85457779;0,02839574;0,39750220
-23,84433779;0,02837823;0,39900010
-23,83409779;0,02843069;0,40093640
-23,82385779;0,02836948;0,40327470
-23,81361779;0,02827323;0,40495540
-23,80337779;0,02826440;0,40623540
-23,79313779;0,02836071;0,40828150
