Tiempo;average(B);average(A)
(ms);(V);(V)

-23,51819075;0,00590947;0,44047110
-23,50795075;0,00590384;0,44093440
-23,49771075;0,00591701;0,44147080
-23,48747075;0,00590680;0,44192740
-23,47723075;0,00589228;0,44262750
-23,46699075;0,00589659;0,44288340
-23,45675075;0,00588853;0,44307820
-23,44651075;0,00589845;0,44319390
-23,43627075;0,00590193;0,44332200
-23,42603075;0,00590438;0,44362700
-23,41579075;0,00588098;0,44389470
-23,40555075;0,00590168;0,44355910
-23,39531075;0,00589228;0,44352240
-23,38507075;0,00587859;0,44357740
-23,37483075;0,00588666;0,44329680
-23,36459075;0,00587105;0,44305930
-23,35435075;0,00588664;0,44285130
-23,34411075;0,00585870;0,44257680
-23,33387075;0,00586464;0,44237590
-23,32363075;0,00586999;0,44180880
-23,31339075;0,00586567;0,44100390
-23,30315075;0,00585197;0,44052820
-23,29291075;0,00584983;0,44019960
-23,28267075;0,00585198;0,43937630
-23,27243075;0,00585763;0,43898070
-23,26219075;0,00585466;0,43849960
-23,25195075;0,00584822;0,43815230
-23,24171075;0,00585279;0,43782880
-23,23147075;0,00585896;0,43712210
-23,22123075;0,00585387;0,43671360
-23,21099075;0,00584070;0,43581140
-23,20075075;0,00582592;0,43466470
-23,19051075;0,00584580;0,43358550
-23,18027075;0,00583132;0,43256020
-23,17003075;0,00582995;0,43149790
-23,15979075;0,00582755;0,43072830
-23,14955075;0,00583856;0,42954570
-23,13931075;0,00584931;0,42829020
-23,12907075;0,00581787;0,42670550
-23,11883075;0,00583560;0,42551080
-23,10859075;0,00582137;0,42412670
-23,09835075;0,00584553;0,42292450
-23,08811075;0,00581948;0,42201050
-23,07787075;0,00581813;0,42113280
-23,06763075;0,00580657;0,41947500
-23,05739075;0,00582270;0,41773060
-23,04715075;0,00582861;0,41607100
-23,03691075;0,00580120;0,41449050
-23,02667075;0,00580176;0,41324040
-23,01643075;0,00580389;0,41133190
-23,00619075;0,00581491;0,40886350
-22,99595075;0,00580738;0,40714360
-22,98571075;0,00580069;0,40569950
-22,97547075;0,00579798;0,40437690
-22,96523075;0,00580845;0,40240810
-22,95499075;0,00580684;0,40074280
-22,94475075;0,00579019;0,39861950
-22,93451075;0,00578750;0,39691160
-22,92427075;0,00579020;0,39461590
-22,91403075;0,00579960;0,39222380
-22,90379075;0,00579663;0,39009270
-22,89355075;0,00576682;0,38873320
-22,88331075;0,00578133;0,38695760
-22,87307075;0,00579369;0,38457910
-22,86283075;0,00577891;0,38223810
-22,85259075;0,00575580;0,38037880
-22,84235075;0,00576439;0,37806120
-22,83211075;0,00578078;0,37498190
-22,82187075;0,00577890;0,37272020
-22,81163075;0,00575501;0,37068300
-22,80139075;0,00575526;0,36807850
-22,79115075;0,00577247;0,36550650
