Tiempo;Canal A
(ms);(V)

-500,23591518;4,26908200
-500,15399518;4,31409600
-500,07207519;4,31409600
-499,99015519;4,40397400
-499,90823519;4,40397400
-499,82631519;4,44883600
-499,74439519;4,49385100
-499,66247519;4,49385100
-499,58055519;4,49385100
-499,49863519;4,53871300
-499,41671519;4,53871300
-499,33479519;4,58372700
-499,25287519;4,58372700
-499,17095519;4,58372700
-499,08903519;4,62874200
-499,00711519;4,62874200
-498,92519519;4,62874200
-498,84327519;4,62874200
-498,76135519;4,62874200
-498,67943519;4,62874200
-498,59751519;4,62874200
-498,51559519;4,62874200
-498,43367519;4,58372700
-498,35175520;4,62874200
-498,26983520;4,58372700
-498,18791520;4,58372700
-498,10599520;4,58372700
-498,02407520;4,58372700
-497,94215520;4,58372700
-497,86023520;4,58372700
-497,77831520;4,53871300
-497,69639520;4,53871300
-497,61447520;4,53871300
-497,53255520;4,49385100
-497,45063520;4,49385100
-497,36871520;4,49385100
-497,28679520;4,49385100
-497,20487520;4,49385100
-497,12295520;4,49385100
-497,04103520;4,49385100
-496,95911520;4,49385100
-496,87719520;4,44883600
-496,79527520;4,44883600
-496,71335521;4,40397400
-496,63143521;4,40397400
-496,54951521;4,40397400
-496,46759521;4,40397400
-496,38567521;4,40397400
-496,30375521;4,40397400
-496,22183521;4,40397400
-496,13991521;4,35895900
-496,05799521;4,35895900
-495,97607521;4,31409600
-495,89415521;4,31409600
-495,81223521;4,31409600
-495,73031521;4,31409600
-495,64839521;4,31409600
-495,56647521;4,31409600
-495,48455521;4,31409600
-495,40263521;4,31409600
-495,32071521;4,31409600
-495,23879521;4,26908200
-495,15687521;4,26908200
-495,07495522;4,22406700
-494,99303522;4,26908200
-494,91111522;4,22406700
-494,82919522;4,22406700
-494,74727522;4,22406700
-494,66535522;4,22406700
-494,58343522;4,22406700
-494,50151522;4,22406700
-494,41959522;4,17920400
-494,33767522;4,22406700
-494,25575522;4,17920400
-494,17383522;4,13419000
-494,09191522;4,13419000
-494,00999522;4,13419000
-493,92807522;4,13419000
-493,84615522;4,13419000
-493,76423522;4,13419000
-493,68231522;4,13419000
-493,60039522;4,13419000
-493,51847522;4,13419000
-493,43655523;4,13419000
-493,35463523;4,08932800
-493,27271523;4,08932800
-493,19079523;4,08932800
-493,10887523;4,08932800
-493,02695523;4,04431300
-492,94503523;4,04431300
-492,86311523;4,04431300
-492,78119523;4,04431300
-492,69927523;4,04431300
-492,61735523;4,04431300
-492,53543523;3,99929800
-492,45351523;3,99929800
-492,37159523;3,99929800
-492,28967523;3,95443600
-492,20775523;3,95443600
-492,12583523;3,95443600
-492,04391523;3,95443600
-491,96199523;3,95443600
-491,88007523;3,95443600
-491,79815524;3,95443600
-491,71623524;3,95443600
-491,63431524;3,95443600
-491,55239524;3,90942100
-491,47047524;3,90942100
-491,38855524;3,90942100
-491,30663524;3,86455900
-491,22471524;3,86455900
-491,14279524;3,86455900
-491,06087524;3,86455900
-490,97895524;3,86455900
-490,89703524;3,86455900
-490,81511524;3,90942100
-490,73319524;3,95443600
-490,65127524;3,95443600
