Tiempo;Canal A
(ms);(V)

-500,23263693;4,26908200
-500,15071693;4,31409600
-500,06879693;4,31409600
-499,98687693;4,40397400
-499,90495693;4,40397400
-499,82303693;4,40397400
-499,74111693;4,49385100
-499,65919693;4,49385100
-499,57727693;4,49385100
-499,49535693;4,49385100
-499,41343693;4,53871300
-499,33151693;4,53871300
-499,24959693;4,53871300
-499,16767694;4,58372700
-499,08575694;4,58372700
-499,00383694;4,62874200
-498,92191694;4,58372700
-498,83999694;4,62874200
-498,75807694;4,62874200
-498,67615694;4,58372700
-498,59423694;4,58372700
-498,51231694;4,62874200
-498,43039694;4,58372700
-498,34847694;4,58372700
-498,26655694;4,58372700
-498,18463694;4,58372700
-498,10271694;4,58372700
-498,02079694;4,58372700
-497,93887694;4,53871300
-497,85695694;4,53871300
-497,77503694;4,53871300
-497,69311694;4,53871300
-497,61119694;4,49385100
-497,52927694;4,53871300
-497,44735695;4,49385100
-497,36543695;4,49385100
-497,28351695;4,49385100
-497,20159695;4,49385100
-497,11967695;4,44883600
-497,03775695;4,44883600
-496,95583695;4,44883600
-496,87391695;4,44883600
-496,79199695;4,40397400
-496,71007695;4,40397400
-496,62815695;4,40397400
-496,54623695;4,40397400
-496,46431695;4,40397400
-496,38239695;4,40397400
-496,30047695;4,40397400
-496,21855695;4,40397400
-496,13663695;4,35895900
-496,05471695;4,31409600
-495,97279695;4,31409600
-495,89087695;4,31409600
-495,80895696;4,31409600
-495,72703696;4,31409600
-495,64511696;4,31409600
-495,56319696;4,31409600
-495,48127696;4,31409600
-495,39935696;4,31409600
-495,31743696;4,26908200
-495,23551696;4,26908200
-495,15359696;4,26908200
-495,07167696;4,26908200
-494,98975696;4,22406700
-494,90783696;4,22406700
-494,82591696;4,22406700
-494,74399696;4,22406700
-494,66207696;4,22406700
-494,58015696;4,22406700
-494,49823696;4,22406700
-494,41631696;4,17920400
-494,33439696;4,17920400
-494,25247696;4,17920400
-494,17055697;4,17920400
-494,08863697;4,13419000
-494,00671697;4,13419000
-493,92479697;4,13419000
-493,84287697;4,13419000
-493,76095697;4,13419000
-493,67903697;4,13419000
-493,59711697;4,13419000
-493,51519697;4,13419000
-493,43327697;4,13419000
-493,35135697;4,08932800
-493,26943697;4,04431300
-493,18751697;4,08932800
-493,10559697;4,04431300
-493,02367697;4,04431300
-492,94175697;4,04431300
-492,85983697;4,04431300
-492,77791697;4,04431300
-492,69599697;4,04431300
-492,61407697;4,04431300
-492,53215698;3,99929800
-492,45023698;3,99929800
-492,36831698;3,95443600
-492,28639698;4,04431300
-492,20447698;3,95443600
-492,12255698;3,95443600
-492,04063698;3,95443600
-491,95871698;3,95443600
-491,87679698;3,95443600
-491,79487698;3,95443600
-491,71295698;3,95443600
-491,63103698;3,90942100
-491,54911698;3,95443600
-491,46719698;3,95443600
-491,38527698;3,86455900
-491,30335698;3,86455900
-491,22143698;3,90942100
-491,13951698;3,86455900
-491,05759698;3,86455900
-490,97567698;3,86455900
-490,89375699;3,90942100
-490,81183699;3,95443600
-490,72991699;3,95443600
-490,64799699;4,04431300
