Tiempo;Canal A
(ms);(V)

-500,26208162;4,13419000
-500,18016162;4,13419000
-500,09824162;4,22406700
-500,01632162;4,26908200
-499,93440163;4,31409600
-499,85248163;4,31409600
-499,77056163;4,35895900
-499,68864163;4,40397400
-499,60672163;4,40397400
-499,52480163;4,44883600
-499,44288163;4,49385100
-499,36096163;4,49385100
-499,27904163;4,49385100
-499,19712163;4,53871300
-499,11520163;4,53871300
-499,03328163;4,58372700
-498,95136163;4,58372700
-498,86944163;4,58372700
-498,78752163;4,58372700
-498,70560163;4,62874200
-498,62368163;4,62874200
-498,54176163;4,58372700
-498,45984163;4,58372700
-498,37792163;4,58372700
-498,29600164;4,58372700
-498,21408164;4,58372700
-498,13216164;4,58372700
-498,05024164;4,58372700
-497,96832164;4,53871300
-497,88640164;4,58372700
-497,80448164;4,53871300
-497,72256164;4,53871300
-497,64064164;4,49385100
-497,55872164;4,49385100
-497,47680164;4,49385100
-497,39488164;4,49385100
-497,31296164;4,49385100
-497,23104164;4,49385100
-497,14912164;4,49385100
-497,06720164;4,44883600
-496,98528164;4,44883600
-496,90336164;4,44883600
-496,82144164;4,40397400
-496,73952164;4,44883600
-496,65760164;4,40397400
-496,57568165;4,40397400
-496,49376165;4,40397400
-496,41184165;4,40397400
-496,32992165;4,40397400
-496,24800165;4,40397400
-496,16608165;4,35895900
-496,08416165;4,35895900
-496,00224165;4,35895900
-495,92032165;4,35895900
-495,83840165;4,31409600
-495,75648165;4,31409600
-495,67456165;4,31409600
-495,59264165;4,31409600
-495,51072165;4,31409600
-495,42880165;4,31409600
-495,34688165;4,26908200
-495,26496165;4,26908200
-495,18304165;4,26908200
-495,10112165;4,22406700
-495,01920165;4,22406700
-494,93728166;4,22406700
-494,85536166;4,22406700
-494,77344166;4,22406700
-494,69152166;4,22406700
-494,60960166;4,22406700
-494,52768166;4,22406700
-494,44576166;4,22406700
-494,36384166;4,17920400
-494,28192166;4,22406700
-494,20000166;4,13419000
-494,11808166;4,13419000
-494,03616166;4,13419000
-493,95424166;4,13419000
-493,87232166;4,13419000
-493,79040166;4,13419000
-493,70848166;4,13419000
-493,62656166;4,13419000
-493,54464166;4,13419000
-493,46272166;4,13419000
-493,38080166;4,08932800
-493,29888167;4,08932800
-493,21696167;4,08932800
-493,13504167;4,04431300
-493,05312167;4,04431300
-492,97120167;4,04431300
-492,88928167;4,04431300
-492,80736167;4,04431300
-492,72544167;4,04431300
-492,64352167;3,99929800
-492,56160167;4,04431300
-492,47968167;3,99929800
-492,39776167;3,99929800
-492,31584167;3,99929800
-492,23392167;3,95443600
-492,15200167;3,95443600
-492,07008167;3,95443600
-491,98816167;3,95443600
-491,90624167;3,95443600
-491,82432167;3,95443600
-491,74240167;3,95443600
-491,66048168;3,95443600
-491,57856168;3,95443600
-491,49664168;3,90942100
-491,41472168;3,90942100
-491,33280168;3,90942100
-491,25088168;3,90942100
-491,16896168;3,86455900
-491,08704168;3,86455900
-491,00512168;3,86455900
-490,92320168;3,86455900
-490,84128168;3,86455900
-490,75936168;3,90942100
-490,67744168;3,90942100
