Tiempo;Canal A
(ms);(V)

-500,27269125;4,26908200
-500,19077125;4,31409600
-500,10885125;4,31409600
-500,02693125;4,40397400
-499,94501125;4,40397400
-499,86309125;4,44883600
-499,78117125;4,44883600
-499,69925125;4,49385100
-499,61733125;4,49385100
-499,53541125;4,49385100
-499,45349125;4,53871300
-499,37157126;4,58372700
-499,28965126;4,58372700
-499,20773126;4,58372700
-499,12581126;4,58372700
-499,04389126;4,58372700
-498,96197126;4,58372700
-498,88005126;4,62874200
-498,79813126;4,62874200
-498,71621126;4,62874200
-498,63429126;4,67360400
-498,55237126;4,62874200
-498,47045126;4,58372700
-498,38853126;4,58372700
-498,30661126;4,58372700
-498,22469126;4,58372700
-498,14277126;4,58372700
-498,06085126;4,58372700
-497,97893126;4,58372700
-497,89701126;4,58372700
-497,81509126;4,53871300
-497,73317127;4,49385100
-497,65125127;4,49385100
-497,56933127;4,49385100
-497,48741127;4,49385100
-497,40549127;4,49385100
-497,32357127;4,49385100
-497,24165127;4,49385100
-497,15973127;4,49385100
-497,07781127;4,44883600
-496,99589127;4,44883600
-496,91397127;4,44883600
-496,83205127;4,44883600
-496,75013127;4,40397400
-496,66821127;4,40397400
-496,58629127;4,40397400
-496,50437127;4,40397400
-496,42245127;4,40397400
-496,34053127;4,40397400
-496,25861127;4,40397400
-496,17669127;4,40397400
-496,09477128;4,40397400
-496,01285128;4,35895900
-495,93093128;4,31409600
-495,84901128;4,31409600
-495,76709128;4,31409600
-495,68517128;4,31409600
-495,60325128;4,31409600
-495,52133128;4,31409600
-495,43941128;4,31409600
-495,35749128;4,26908200
-495,27557128;4,26908200
-495,19365128;4,26908200
-495,11173128;4,22406700
-495,02981128;4,26908200
-494,94789128;4,22406700
-494,86597128;4,22406700
-494,78405128;4,22406700
-494,70213128;4,22406700
-494,62021128;4,22406700
-494,53829128;4,22406700
-494,45637129;4,22406700
-494,37445129;4,17920400
-494,29253129;4,17920400
-494,21061129;4,13419000
-494,12869129;4,17920400
-494,04677129;4,13419000
-493,96485129;4,13419000
-493,88293129;4,13419000
-493,80101129;4,13419000
-493,71909129;4,13419000
-493,63717129;4,13419000
-493,55525129;4,13419000
-493,47333129;4,13419000
-493,39141129;4,13419000
-493,30949129;4,08932800
-493,22757129;4,08932800
-493,14565129;4,08932800
-493,06373129;4,04431300
-492,98181129;4,04431300
-492,89989129;4,04431300
-492,81797130;4,04431300
-492,73605130;4,04431300
-492,65413130;4,04431300
-492,57221130;4,04431300
-492,49029130;3,99929800
-492,40837130;3,99929800
-492,32645130;3,99929800
-492,24453130;3,95443600
-492,16261130;3,95443600
-492,08069130;3,95443600
-491,99877130;3,95443600
-491,91685130;3,95443600
-491,83493130;3,95443600
-491,75301130;3,95443600
-491,67109130;3,95443600
-491,58917130;3,90942100
-491,50725130;3,90942100
-491,42533130;3,90942100
-491,34341130;3,90942100
-491,26149130;3,90942100
-491,17957131;3,90942100
-491,09765131;3,90942100
-491,01573131;3,90942100
-490,93381131;3,90942100
-490,85189131;3,95443600
-490,76997131;3,95443600
-490,68805131;4,04431300
