Tiempo;Canal A
(ms);(V)

-500,26935339;4,22406700
-500,18743339;4,26908200
-500,10551339;4,31409600
-500,02359339;4,31409600
-499,94167339;4,40397400
-499,85975339;4,40397400
-499,77783339;4,44883600
-499,69591339;4,49385100
-499,61399339;4,49385100
-499,53207339;4,49385100
-499,45015339;4,49385100
-499,36823340;4,58372700
-499,28631340;4,53871300
-499,20439340;4,58372700
-499,12247340;4,58372700
-499,04055340;4,58372700
-498,95863340;4,58372700
-498,87671340;4,58372700
-498,79479340;4,58372700
-498,71287340;4,58372700
-498,63095340;4,58372700
-498,54903340;4,58372700
-498,46711340;4,58372700
-498,38519340;4,58372700
-498,30327340;4,58372700
-498,22135340;4,58372700
-498,13943340;4,53871300
-498,05751340;4,53871300
-497,97559340;4,53871300
-497,89367340;4,53871300
-497,81175340;4,49385100
-497,72983341;4,49385100
-497,64791341;4,49385100
-497,56599341;4,49385100
-497,48407341;4,49385100
-497,40215341;4,49385100
-497,32023341;4,49385100
-497,23831341;4,44883600
-497,15639341;4,44883600
-497,07447341;4,44883600
-496,99255341;4,44883600
-496,91063341;4,40397400
-496,82871341;4,40397400
-496,74679341;4,40397400
-496,66487341;4,40397400
-496,58295341;4,40397400
-496,50103341;4,40397400
-496,41911341;4,40397400
-496,33719341;4,35895900
-496,25527341;4,35895900
-496,17335341;4,35895900
-496,09143342;4,31409600
-496,00951342;4,31409600
-495,92759342;4,31409600
-495,84567342;4,31409600
-495,76375342;4,31409600
-495,68183342;4,31409600
-495,59991342;4,26908200
-495,51799342;4,26908200
-495,43607342;4,31409600
-495,35415342;4,26908200
-495,27223342;4,26908200
-495,19031342;4,22406700
-495,10839342;4,22406700
-495,02647342;4,22406700
-494,94455342;4,22406700
-494,86263342;4,22406700
-494,78071342;4,22406700
-494,69879342;4,17920400
-494,61687342;4,22406700
-494,53495342;4,22406700
-494,45303343;4,17920400
-494,37111343;4,17920400
-494,28919343;4,17920400
-494,20727343;4,13419000
-494,12535343;4,13419000
-494,04343343;4,13419000
-493,96151343;4,13419000
-493,87959343;4,13419000
-493,79767343;4,13419000
-493,71575343;4,13419000
-493,63383343;4,08932800
-493,55191343;4,08932800
-493,46999343;4,08932800
-493,38807343;4,08932800
-493,30615343;4,08932800
-493,22423343;4,04431300
-493,14231343;4,04431300
-493,06039343;4,04431300
-492,97847343;4,04431300
-492,89655343;4,04431300
-492,81463344;4,04431300
-492,73271344;4,04431300
-492,65079344;3,99929800
-492,56887344;3,99929800
-492,48695344;3,99929800
-492,40503344;3,95443600
-492,32311344;3,99929800
-492,24119344;3,95443600
-492,15927344;3,95443600
-492,07735344;3,95443600
-491,99543344;3,95443600
-491,91351344;3,95443600
-491,83159344;3,95443600
-491,74967344;3,95443600
-491,66775344;3,90942100
-491,58583344;3,86455900
-491,50391344;3,90942100
-491,42199344;3,86455900
-491,34007344;3,86455900
-491,25815344;3,86455900
-491,17623345;3,86455900
-491,09431345;3,86455900
-491,01239345;3,86455900
-490,93047345;3,86455900
-490,84855345;3,95443600
-490,76663345;3,95443600
-490,68471345;4,04431300
