Tiempo;Canal A
(ms);(V)

-500,27310848;4,13419000
-500,19118848;4,17920400
-500,10926848;4,22406700
-500,02734848;4,26908200
-499,94542848;4,31409600
-499,86350848;4,35895900
-499,78158849;4,40397400
-499,69966849;4,40397400
-499,61774849;4,40397400
-499,53582849;4,44883600
-499,45390849;4,49385100
-499,37198849;4,49385100
-499,29006849;4,53871300
-499,20814849;4,53871300
-499,12622849;4,53871300
-499,04430849;4,58372700
-498,96238849;4,58372700
-498,88046849;4,58372700
-498,79854849;4,62874200
-498,71662849;4,58372700
-498,63470849;4,58372700
-498,55278849;4,58372700
-498,47086849;4,58372700
-498,38894849;4,58372700
-498,30702849;4,58372700
-498,22510849;4,58372700
-498,14318850;4,58372700
-498,06126850;4,58372700
-497,97934850;4,53871300
-497,89742850;4,58372700
-497,81550850;4,53871300
-497,73358850;4,53871300
-497,65166850;4,49385100
-497,56974850;4,49385100
-497,48782850;4,49385100
-497,40590850;4,49385100
-497,32398850;4,49385100
-497,24206850;4,49385100
-497,16014850;4,49385100
-497,07822850;4,44883600
-496,99630850;4,49385100
-496,91438850;4,44883600
-496,83246850;4,44883600
-496,75054850;4,44883600
-496,66862850;4,40397400
-496,58670850;4,40397400
-496,50478851;4,40397400
-496,42286851;4,40397400
-496,34094851;4,40397400
-496,25902851;4,35895900
-496,17710851;4,35895900
-496,09518851;4,35895900
-496,01326851;4,31409600
-495,93134851;4,31409600
-495,84942851;4,31409600
-495,76750851;4,31409600
-495,68558851;4,31409600
-495,60366851;4,31409600
-495,52174851;4,31409600
-495,43982851;4,31409600
-495,35790851;4,26908200
-495,27598851;4,26908200
-495,19406851;4,26908200
-495,11214851;4,26908200
-495,03022851;4,26908200
-494,94830851;4,22406700
-494,86638852;4,22406700
-494,78446852;4,22406700
-494,70254852;4,22406700
-494,62062852;4,22406700
-494,53870852;4,22406700
-494,45678852;4,22406700
-494,37486852;4,17920400
-494,29294852;4,17920400
-494,21102852;4,13419000
-494,12910852;4,13419000
-494,04718852;4,17920400
-493,96526852;4,13419000
-493,88334852;4,13419000
-493,80142852;4,13419000
-493,71950852;4,13419000
-493,63758852;4,13419000
-493,55566852;4,13419000
-493,47374852;4,08932800
-493,39182852;4,08932800
-493,30990852;4,08932800
-493,22798853;4,08932800
-493,14606853;4,08932800
-493,06414853;4,04431300
-492,98222853;4,04431300
-492,90030853;4,04431300
-492,81838853;4,04431300
-492,73646853;4,04431300
-492,65454853;4,04431300
-492,57262853;3,99929800
-492,49070853;3,99929800
-492,40878853;3,99929800
-492,32686853;3,95443600
-492,24494853;3,95443600
-492,16302853;3,95443600
-492,08110853;3,95443600
-491,99918853;3,95443600
-491,91726853;3,95443600
-491,83534853;3,95443600
-491,75342853;3,95443600
-491,67150853;3,95443600
-491,58958854;3,95443600
-491,50766854;3,90942100
-491,42574854;3,90942100
-491,34382854;3,90942100
-491,26190854;3,90942100
-491,17998854;3,86455900
-491,09806854;3,86455900
-491,01614854;3,86455900
-490,93422854;3,86455900
-490,85230854;3,86455900
-490,77038854;3,90942100
-490,68846854;3,90942100
