Tiempo;Canal A
(ms);(V)

-500,28246641;4,22406700
-500,20054641;4,31409600
-500,11862641;4,31409600
-500,03670641;4,35895900
-499,95478641;4,40397400
-499,87286641;4,44883600
-499,79094641;4,44883600
-499,70902642;4,49385100
-499,62710642;4,49385100
-499,54518642;4,49385100
-499,46326642;4,49385100
-499,38134642;4,53871300
-499,29942642;4,53871300
-499,21750642;4,58372700
-499,13558642;4,58372700
-499,05366642;4,58372700
-498,97174642;4,58372700
-498,88982642;4,62874200
-498,80790642;4,62874200
-498,72598642;4,58372700
-498,64406642;4,58372700
-498,56214642;4,58372700
-498,48022642;4,58372700
-498,39830642;4,58372700
-498,31638642;4,58372700
-498,23446642;4,58372700
-498,15254642;4,58372700
-498,07062643;4,53871300
-497,98870643;4,53871300
-497,90678643;4,53871300
-497,82486643;4,49385100
-497,74294643;4,49385100
-497,66102643;4,49385100
-497,57910643;4,49385100
-497,49718643;4,49385100
-497,41526643;4,49385100
-497,33334643;4,49385100
-497,25142643;4,44883600
-497,16950643;4,44883600
-497,08758643;4,40397400
-497,00566643;4,44883600
-496,92374643;4,40397400
-496,84182643;4,40397400
-496,75990643;4,40397400
-496,67798643;4,40397400
-496,59606643;4,40397400
-496,51414643;4,40397400
-496,43222643;4,40397400
-496,35030644;4,35895900
-496,26838644;4,31409600
-496,18646644;4,31409600
-496,10454644;4,31409600
-496,02262644;4,31409600
-495,94070644;4,31409600
-495,85878644;4,31409600
-495,77686644;4,31409600
-495,69494644;4,31409600
-495,61302644;4,31409600
-495,53110644;4,31409600
-495,44918644;4,26908200
-495,36726644;4,26908200
-495,28534644;4,26908200
-495,20342644;4,26908200
-495,12150644;4,22406700
-495,03958644;4,22406700
-494,95766644;4,22406700
-494,87574644;4,22406700
-494,79382644;4,22406700
-494,71190645;4,22406700
-494,62998645;4,22406700
-494,54806645;4,22406700
-494,46614645;4,17920400
-494,38422645;4,17920400
-494,30230645;4,17920400
-494,22038645;4,17920400
-494,13846645;4,13419000
-494,05654645;4,13419000
-493,97462645;4,13419000
-493,89270645;4,13419000
-493,81078645;4,13419000
-493,72886645;4,13419000
-493,64694645;4,08932800
-493,56502645;4,08932800
-493,48310645;4,08932800
-493,40118645;4,08932800
-493,31926645;4,04431300
-493,23734645;4,04431300
-493,15542645;4,04431300
-493,07350646;4,04431300
-492,99158646;4,04431300
-492,90966646;4,04431300
-492,82774646;4,04431300
-492,74582646;4,04431300
-492,66390646;3,95443600
-492,58198646;3,95443600
-492,50006646;3,99929800
-492,41814646;3,95443600
-492,33622646;3,95443600
-492,25430646;3,95443600
-492,17238646;3,95443600
-492,09046646;3,95443600
-492,00854646;3,95443600
-491,92662646;3,95443600
-491,84470646;3,95443600
-491,76278646;3,90942100
-491,68086646;3,90942100
-491,59894646;3,90942100
-491,51702646;3,90942100
-491,43510647;3,90942100
-491,35318647;3,86455900
-491,27126647;3,86455900
-491,18934647;3,86455900
-491,10742647;3,86455900
-491,02550647;3,86455900
-490,94358647;3,90942100
-490,86166647;3,90942100
-490,77974647;3,95443600
-490,69782647;4,04431300
