Tiempo;Canal A
(ms);(V)

-500,23329258;4,13419000
-500,15137258;4,22406700
-500,06945258;4,26908200
-499,98753258;4,31409600
-499,90561258;4,31409600
-499,82369258;4,40397400
-499,74177258;4,40397400
-499,65985258;4,40397400
-499,57793258;4,49385100
-499,49601258;4,49385100
-499,41409258;4,49385100
-499,33217259;4,49385100
-499,25025259;4,53871300
-499,16833259;4,58372700
-499,08641259;4,58372700
-499,00449259;4,58372700
-498,92257259;4,58372700
-498,84065259;4,58372700
-498,75873259;4,58372700
-498,67681259;4,62874200
-498,59489259;4,58372700
-498,51297259;4,58372700
-498,43105259;4,58372700
-498,34913259;4,58372700
-498,26721259;4,58372700
-498,18529259;4,58372700
-498,10337259;4,58372700
-498,02145259;4,58372700
-497,93953259;4,53871300
-497,85761259;4,53871300
-497,77569259;4,53871300
-497,69377260;4,49385100
-497,61185260;4,49385100
-497,52993260;4,49385100
-497,44801260;4,49385100
-497,36609260;4,49385100
-497,28417260;4,49385100
-497,20225260;4,49385100
-497,12033260;4,49385100
-497,03841260;4,44883600
-496,95649260;4,44883600
-496,87457260;4,44883600
-496,79265260;4,40397400
-496,71073260;4,40397400
-496,62881260;4,40397400
-496,54689260;4,40397400
-496,46497260;4,40397400
-496,38305260;4,40397400
-496,30113260;4,40397400
-496,21921260;4,35895900
-496,13729260;4,35895900
-496,05537261;4,35895900
-495,97345261;4,31409600
-495,89153261;4,31409600
-495,80961261;4,31409600
-495,72769261;4,31409600
-495,64577261;4,31409600
-495,56385261;4,31409600
-495,48193261;4,31409600
-495,40001261;4,26908200
-495,31809261;4,26908200
-495,23617261;4,26908200
-495,15425261;4,26908200
-495,07233261;4,22406700
-494,99041261;4,22406700
-494,90849261;4,22406700
-494,82657261;4,22406700
-494,74465261;4,22406700
-494,66273261;4,22406700
-494,58081261;4,22406700
-494,49889261;4,22406700
-494,41697261;4,17920400
-494,33505262;4,13419000
-494,25313262;4,17920400
-494,17121262;4,13419000
-494,08929262;4,13419000
-494,00737262;4,13419000
-493,92545262;4,13419000
-493,84353262;4,13419000
-493,76161262;4,13419000
-493,67969262;4,13419000
-493,59777262;4,13419000
-493,51585262;4,08932800
-493,43393262;4,08932800
-493,35201262;4,08932800
-493,27009262;4,04431300
-493,18817262;4,08932800
-493,10625262;4,08932800
-493,02433262;4,04431300
-492,94241262;4,04431300
-492,86049262;4,04431300
-492,77857262;4,04431300
-492,69665263;4,04431300
-492,61473263;3,99929800
-492,53281263;3,99929800
-492,45089263;3,99929800
-492,36897263;3,99929800
-492,28705263;3,95443600
-492,20513263;3,95443600
-492,12321263;3,95443600
-492,04129263;3,95443600
-491,95937263;3,95443600
-491,87745263;3,95443600
-491,79553263;3,95443600
-491,71361263;3,95443600
-491,63169263;3,90942100
-491,54977263;3,95443600
-491,46785263;3,90942100
-491,38593263;3,90942100
-491,30401263;3,90942100
-491,22209263;3,86455900
-491,14017263;3,86455900
-491,05825264;3,86455900
-490,97633264;3,86455900
-490,89441264;3,86455900
-490,81249264;3,86455900
-490,73057264;3,90942100
-490,64865264;3,95443600
