Tiempo;Canal A
(ms);(V)

-500,24926662;4,26908200
-500,16734662;4,31409600
-500,08542663;4,31409600
-500,00350663;4,31409600
-499,92158663;4,40397400
-499,83966663;4,40397400
-499,75774663;4,44883600
-499,67582663;4,44883600
-499,59390663;4,49385100
-499,51198663;4,49385100
-499,43006663;4,53871300
-499,34814663;4,53871300
-499,26622663;4,58372700
-499,18430663;4,58372700
-499,10238663;4,58372700
-499,02046663;4,58372700
-498,93854663;4,62874200
-498,85662663;4,58372700
-498,77470663;4,58372700
-498,69278663;4,58372700
-498,61086663;4,58372700
-498,52894663;4,58372700
-498,44702664;4,58372700
-498,36510664;4,58372700
-498,28318664;4,58372700
-498,20126664;4,58372700
-498,11934664;4,58372700
-498,03742664;4,53871300
-497,95550664;4,53871300
-497,87358664;4,53871300
-497,79166664;4,53871300
-497,70974664;4,49385100
-497,62782664;4,49385100
-497,54590664;4,49385100
-497,46398664;4,49385100
-497,38206664;4,49385100
-497,30014664;4,49385100
-497,21822664;4,44883600
-497,13630664;4,49385100
-497,05438664;4,44883600
-496,97246664;4,44883600
-496,89054664;4,40397400
-496,80862665;4,44883600
-496,72670665;4,40397400
-496,64478665;4,40397400
-496,56286665;4,40397400
-496,48094665;4,40397400
-496,39902665;4,40397400
-496,31710665;4,35895900
-496,23518665;4,35895900
-496,15326665;4,35895900
-496,07134665;4,31409600
-495,98942665;4,31409600
-495,90750665;4,31409600
-495,82558665;4,31409600
-495,74366665;4,31409600
-495,66174665;4,31409600
-495,57982665;4,31409600
-495,49790665;4,31409600
-495,41598665;4,31409600
-495,33406665;4,26908200
-495,25214665;4,26908200
-495,17022666;4,26908200
-495,08830666;4,26908200
-495,00638666;4,22406700
-494,92446666;4,22406700
-494,84254666;4,22406700
-494,76062666;4,22406700
-494,67870666;4,22406700
-494,59678666;4,17920400
-494,51486666;4,17920400
-494,43294666;4,17920400
-494,35102666;4,17920400
-494,26910666;4,13419000
-494,18718666;4,13419000
-494,10526666;4,13419000
-494,02334666;4,13419000
-493,94142666;4,13419000
-493,85950666;4,13419000
-493,77758666;4,13419000
-493,69566666;4,13419000
-493,61374666;4,13419000
-493,53182667;4,08932800
-493,44990667;4,08932800
-493,36798667;4,08932800
-493,28606667;4,08932800
-493,20414667;4,04431300
-493,12222667;4,04431300
-493,04030667;4,04431300
-492,95838667;4,04431300
-492,87646667;4,04431300
-492,79454667;4,04431300
-492,71262667;3,99929800
-492,63070667;3,99929800
-492,54878667;3,99929800
-492,46686667;3,95443600
-492,38494667;3,95443600
-492,30302667;3,95443600
-492,22110667;3,95443600
-492,13918667;3,95443600
-492,05726667;3,95443600
-491,97534667;3,95443600
-491,89342668;3,95443600
-491,81150668;3,95443600
-491,72958668;3,95443600
-491,64766668;3,90942100
-491,56574668;3,90942100
-491,48382668;3,90942100
-491,40190668;3,90942100
-491,31998668;3,90942100
-491,23806668;3,90942100
-491,15614668;3,86455900
-491,07422668;3,86455900
-490,99230668;3,90942100
-490,91038668;3,90942100
-490,82846668;3,95443600
-490,74654668;3,95443600
-490,66462668;4,04431300
