Tiempo;Canal A
(ms);(V)

-500,26172400;4,13419000
-500,17980400;4,22406700
-500,09788400;4,22406700
-500,01596400;4,26908200
-499,93404400;4,31409600
-499,85212400;4,31409600
-499,77020400;4,40397400
-499,68828400;4,40397400
-499,60636400;4,44883600
-499,52444400;4,44883600
-499,44252400;4,49385100
-499,36060400;4,49385100
-499,27868400;4,49385100
-499,19676400;4,53871300
-499,11484400;4,53871300
-499,03292400;4,58372700
-498,95100400;4,58372700
-498,86908400;4,58372700
-498,78716400;4,58372700
-498,70524400;4,58372700
-498,62332401;4,58372700
-498,54140401;4,58372700
-498,45948401;4,58372700
-498,37756401;4,58372700
-498,29564401;4,58372700
-498,21372401;4,58372700
-498,13180401;4,58372700
-498,04988401;4,58372700
-497,96796401;4,58372700
-497,88604401;4,58372700
-497,80412401;4,53871300
-497,72220401;4,53871300
-497,64028401;4,49385100
-497,55836401;4,53871300
-497,47644401;4,49385100
-497,39452401;4,49385100
-497,31260401;4,49385100
-497,23068401;4,49385100
-497,14876401;4,49385100
-497,06684401;4,49385100
-496,98492402;4,44883600
-496,90300402;4,44883600
-496,82108402;4,40397400
-496,73916402;4,40397400
-496,65724402;4,40397400
-496,57532402;4,40397400
-496,49340402;4,40397400
-496,41148402;4,40397400
-496,32956402;4,40397400
-496,24764402;4,40397400
-496,16572402;4,40397400
-496,08380402;4,40397400
-496,00188402;4,31409600
-495,91996402;4,31409600
-495,83804402;4,31409600
-495,75612402;4,31409600
-495,67420402;4,31409600
-495,59228402;4,31409600
-495,51036402;4,31409600
-495,42844402;4,31409600
-495,34652403;4,31409600
-495,26460403;4,26908200
-495,18268403;4,31409600
-495,10076403;4,26908200
-495,01884403;4,26908200
-494,93692403;4,22406700
-494,85500403;4,22406700
-494,77308403;4,22406700
-494,69116403;4,22406700
-494,60924403;4,22406700
-494,52732403;4,22406700
-494,44540403;4,22406700
-494,36348403;4,22406700
-494,28156403;4,17920400
-494,19964403;4,17920400
-494,11772403;4,13419000
-494,03580403;4,13419000
-493,95388403;4,13419000
-493,87196403;4,13419000
-493,79004403;4,13419000
-493,70812404;4,13419000
-493,62620404;4,13419000
-493,54428404;4,13419000
-493,46236404;4,13419000
-493,38044404;4,08932800
-493,29852404;4,08932800
-493,21660404;4,08932800
-493,13468404;4,08932800
-493,05276404;4,04431300
-492,97084404;4,04431300
-492,88892404;4,04431300
-492,80700404;4,04431300
-492,72508404;4,04431300
-492,64316404;4,04431300
-492,56124404;4,04431300
-492,47932404;4,04431300
-492,39740404;3,95443600
-492,31548404;3,99929800
-492,23356404;3,99929800
-492,15164404;3,95443600
-492,06972404;3,95443600
-491,98780405;3,95443600
-491,90588405;3,95443600
-491,82396405;3,95443600
-491,74204405;3,95443600
-491,66012405;3,90942100
-491,57820405;3,95443600
-491,49628405;3,95443600
-491,41436405;3,90942100
-491,33244405;3,86455900
-491,25052405;3,90942100
-491,16860405;3,90942100
-491,08668405;3,86455900
-491,00476405;3,86455900
-490,92284405;3,86455900
-490,84092405;3,86455900
-490,75900405;3,90942100
-490,67708405;3,95443600
