Tiempo;Canal A
(ms);(V)

-500,27960539;4,22406700
-500,19768539;4,26908200
-500,11576539;4,31409600
-500,03384539;4,40397400
-499,95192539;4,40397400
-499,87000539;4,40397400
-499,78808539;4,44883600
-499,70616539;4,49385100
-499,62424539;4,49385100
-499,54232539;4,49385100
-499,46040539;4,53871300
-499,37848539;4,58372700
-499,29656539;4,58372700
-499,21464540;4,58372700
-499,13272540;4,58372700
-499,05080540;4,62874200
-498,96888540;4,62874200
-498,88696540;4,58372700
-498,80504540;4,62874200
-498,72312540;4,62874200
-498,64120540;4,62874200
-498,55928540;4,58372700
-498,47736540;4,58372700
-498,39544540;4,58372700
-498,31352540;4,58372700
-498,23160540;4,58372700
-498,14968540;4,58372700
-498,06776540;4,53871300
-497,98584540;4,53871300
-497,90392540;4,53871300
-497,82200540;4,49385100
-497,74008540;4,53871300
-497,65816540;4,49385100
-497,57624541;4,49385100
-497,49432541;4,49385100
-497,41240541;4,49385100
-497,33048541;4,49385100
-497,24856541;4,49385100
-497,16664541;4,44883600
-497,08472541;4,44883600
-497,00280541;4,44883600
-496,92088541;4,44883600
-496,83896541;4,40397400
-496,75704541;4,40397400
-496,67512541;4,40397400
-496,59320541;4,40397400
-496,51128541;4,40397400
-496,42936541;4,40397400
-496,34744541;4,40397400
-496,26552541;4,31409600
-496,18360541;4,35895900
-496,10168541;4,35895900
-496,01976541;4,31409600
-495,93784542;4,31409600
-495,85592542;4,31409600
-495,77400542;4,31409600
-495,69208542;4,31409600
-495,61016542;4,31409600
-495,52824542;4,31409600
-495,44632542;4,26908200
-495,36440542;4,26908200
-495,28248542;4,26908200
-495,20056542;4,26908200
-495,11864542;4,22406700
-495,03672542;4,22406700
-494,95480542;4,22406700
-494,87288542;4,22406700
-494,79096542;4,22406700
-494,70904542;4,22406700
-494,62712542;4,22406700
-494,54520542;4,17920400
-494,46328542;4,17920400
-494,38136542;4,17920400
-494,29944542;4,17920400
-494,21752543;4,13419000
-494,13560543;4,13419000
-494,05368543;4,13419000
-493,97176543;4,13419000
-493,88984543;4,13419000
-493,80792543;4,13419000
-493,72600543;4,13419000
-493,64408543;4,13419000
-493,56216543;4,13419000
-493,48024543;4,08932800
-493,39832543;4,08932800
-493,31640543;4,08932800
-493,23448543;4,04431300
-493,15256543;4,08932800
-493,07064543;4,04431300
-492,98872543;4,04431300
-492,90680543;4,04431300
-492,82488543;4,04431300
-492,74296543;4,04431300
-492,66104543;3,99929800
-492,57912544;4,04431300
-492,49720544;3,99929800
-492,41528544;3,99929800
-492,33336544;3,95443600
-492,25144544;3,95443600
-492,16952544;3,95443600
-492,08760544;3,95443600
-492,00568544;3,95443600
-491,92376544;3,95443600
-491,84184544;3,95443600
-491,75992544;3,95443600
-491,67800544;3,90942100
-491,59608544;3,90942100
-491,51416544;3,90942100
-491,43224544;3,90942100
-491,35032544;3,90942100
-491,26840544;3,90942100
-491,18648544;3,86455900
-491,10456544;3,86455900
-491,02264544;3,86455900
-490,94072545;3,86455900
-490,85880545;3,90942100
-490,77688545;3,95443600
-490,69496545;3,95443600
