Tiempo;Canal A
(ms);(V)

-500,22828579;4,22406700
-500,14636579;4,26908200
-500,06444579;4,31409600
-499,98252579;4,35895900
-499,90060579;4,40397400
-499,81868579;4,40397400
-499,73676579;4,44883600
-499,65484579;4,49385100
-499,57292579;4,49385100
-499,49100579;4,49385100
-499,40908579;4,49385100
-499,32716579;4,53871300
-499,24524580;4,53871300
-499,16332580;4,58372700
-499,08140580;4,58372700
-498,99948580;4,58372700
-498,91756580;4,58372700
-498,83564580;4,58372700
-498,75372580;4,62874200
-498,67180580;4,58372700
-498,58988580;4,58372700
-498,50796580;4,58372700
-498,42604580;4,58372700
-498,34412580;4,58372700
-498,26220580;4,58372700
-498,18028580;4,58372700
-498,09836580;4,53871300
-498,01644580;4,58372700
-497,93452580;4,53871300
-497,85260580;4,58372700
-497,77068580;4,49385100
-497,68876580;4,49385100
-497,60684581;4,49385100
-497,52492581;4,49385100
-497,44300581;4,49385100
-497,36108581;4,49385100
-497,27916581;4,49385100
-497,19724581;4,49385100
-497,11532581;4,44883600
-497,03340581;4,44883600
-496,95148581;4,44883600
-496,86956581;4,44883600
-496,78764581;4,40397400
-496,70572581;4,40397400
-496,62380581;4,40397400
-496,54188581;4,40397400
-496,45996581;4,40397400
-496,37804581;4,40397400
-496,29612581;4,35895900
-496,21420581;4,35895900
-496,13228581;4,35895900
-496,05036581;4,31409600
-495,96844582;4,31409600
-495,88652582;4,31409600
-495,80460582;4,31409600
-495,72268582;4,31409600
-495,64076582;4,31409600
-495,55884582;4,31409600
-495,47692582;4,31409600
-495,39500582;4,26908200
-495,31308582;4,26908200
-495,23116582;4,26908200
-495,14924582;4,26908200
-495,06732582;4,26908200
-494,98540582;4,22406700
-494,90348582;4,22406700
-494,82156582;4,22406700
-494,73964582;4,22406700
-494,65772582;4,22406700
-494,57580582;4,22406700
-494,49388582;4,17920400
-494,41196582;4,17920400
-494,33004583;4,17920400
-494,24812583;4,17920400
-494,16620583;4,13419000
-494,08428583;4,13419000
-494,00236583;4,13419000
-493,92044583;4,13419000
-493,83852583;4,13419000
-493,75660583;4,13419000
-493,67468583;4,13419000
-493,59276583;4,13419000
-493,51084583;4,13419000
-493,42892583;4,08932800
-493,34700583;4,08932800
-493,26508583;4,08932800
-493,18316583;4,04431300
-493,10124583;4,04431300
-493,01932583;4,04431300
-492,93740583;4,04431300
-492,85548583;4,04431300
-492,77356583;4,04431300
-492,69164584;4,04431300
-492,60972584;4,04431300
-492,52780584;3,99929800
-492,44588584;3,95443600
-492,36396584;3,95443600
-492,28204584;3,95443600
-492,20012584;3,95443600
-492,11820584;3,95443600
-492,03628584;3,95443600
-491,95436584;3,95443600
-491,87244584;3,95443600
-491,79052584;3,95443600
-491,70860584;3,90942100
-491,62668584;3,90942100
-491,54476584;3,90942100
-491,46284584;3,90942100
-491,38092584;3,86455900
-491,29900584;3,86455900
-491,21708584;3,86455900
-491,13516584;3,86455900
-491,05324585;3,86455900
-490,97132585;3,86455900
-490,88940585;3,86455900
-490,80748585;3,90942100
-490,72556585;3,95443600
-490,64364585;3,95443600
