Tiempo;average(B);average(A)
(ms);(V);(V)

-25,00423126;-0,02660994;-0,01019700
-24,99399126;-0,02665268;-0,00460162
-24,98375126;-0,02652464;-0,00320444
-24,97351126;-0,02656722;0,00043107
-24,96327126;-0,02653880;0,00770879
-24,95303126;-0,02662431;0,01414915
-24,94279126;-0,02642507;0,01583148
-24,93255126;-0,02633981;0,01891576
-24,92231126;-0,02602686;0,02564509
-24,91207126;-0,02490335;0,02900976
-24,90183126;-0,01533208;0,03349598
-24,89159126;0,01269904;0,03433715
-24,88135126;0,03524078;0,03938415
-24,87111126;0,03707542;0,04527232
-24,86087126;0,03324963;0,04919776
-24,85063126;0,03333500;0,05536631
-24,84039126;0,03403192;0,06041331
-24,83015126;0,03390379;0,06546032
-24,81991126;0,03379011;0,06854462
-24,80967126;0,03376164;0,06966522
-24,79943126;0,03390384;0,07694862
-24,78919126;0,03381852;0,08394118
-24,77895126;0,03380432;0,08701973
-24,76871126;0,03374729;0,09038438
-24,75847126;0,03377575;0,09683332
-24,74823126;0,03386106;0,10019800
-24,73799126;0,03383268;0,10356270
-24,72775126;0,03383274;0,10608620
-24,71751126;0,03380437;0,11029200
-24,70727126;0,03381843;0,11533900
-24,69703126;0,03386120;0,12094680
-24,68679126;0,03377585;0,12431150
-24,67655126;0,03373308;0,12963890
-24,66631126;0,03373317;0,13496630
-24,65607126;0,03379005;0,13917210
-24,64583126;0,03377590;0,14057400
-24,63559126;0,03380422;0,14534060
-24,62535127;0,03370470;0,15150830
-24,61511127;0,03380426;0,15655610
-24,60487127;0,03366202;0,15907590
-24,59463127;0,03371890;0,16298890
-24,58439127;0,03369054;0,16914600
-24,57415127;0,03374733;0,17419020
-24,56391127;0,03371896;0,17615290
-24,55367127;0,03373317;0,17951760
-24,54343127;0,03373304;0,18204100
-24,53319127;0,03367624;0,18820960
-24,52295127;0,03371906;0,19241540
-24,51271127;0,03366213;0,19662120
-24,50247127;0,03373308;0,20110750
-24,49223127;0,03370479;0,20391140
-24,48199127;0,03356250;0,20951920
-24,47175127;0,03360523;0,21176230
-24,46151127;0,03360523;0,21540730
-24,45127127;0,03367633;0,22045430
-24,44103127;0,03373326;0,22690330
-24,43079127;0,03370460;0,23082880
-24,42055127;0,03360524;0,23279140
-24,41031127;0,03359088;0,24091030
-24,40007127;0,03359098;0,24594590
-24,38983127;0,03353408;0,24762340
-24,37959127;0,03357667;0,25014500
-24,36935127;0,03353413;0,25435090
-24,35911127;0,03356247;0,25995860
-24,34887127;0,03354834;0,26360360
-24,33863127;0,03360523;0,26668790
-24,32839127;0,03354834;0,27313690
-24,31815127;0,03353405;0,27874480
-24,30791127;0,03361931;0,28267020
-24,29767127;0,03349140;0,28463280
-24,28743127;0,03357671;0,28771720
-24,27719127;0,03347725;0,29472680
-24,26695127;0,03359089;0,30005420
-24,25671127;0,03357671;0,30257780
-24,24647127;0,03349150;0,30538170
-24,23623127;0,03337777;0,31014820
-24,22599127;0,03364781;0,31463440
-24,21575127;0,03363360;0,31968140
-24,20551127;0,03356251;0,31996070
-24,19527127;0,03342040;0,32247670
-24,18503127;0,03336342;0,32750840
-24,17479127;0,03347725;0,33255080
-24,16455127;0,03343470;0,33731550
-24,15431127;0,03346294;0,34208210
-24,14407127;0,03346298;0,34656820
-24,13383127;0,03344877;0,35329760
-24,12359127;0,03354825;0,35554060
-24,11335127;0,03347725;0,35722310
-24,10311127;0,03336342;0,36030720
-24,09287127;0,03339194;0,37012090
-24,08263127;0,03347715;0,37236400
-24,07239127;0,03342036;0,37404640
-24,06215127;0,03342031;0,37769140
-24,05191127;0,03334930;0,38105600
-24,04167127;0,03343455;0,38610310
-24,03143127;0,03349151;0,39030900
-24,02119127;0,03339188;0,39199140
-24,01095127;0,03344883;0,39479430
-24,00071127;0,03329231;0,39955810
-23,99047127;0,03342031;0,40543280
-23,98023127;0,03334930;0,40850740
-23,96999127;0,03334931;0,41074670
-23,95975127;0,03330672;0,41439180
-23,94951127;0,03324977;0,42028000
-23,93927127;0,03326399;0,42560740
-23,92903127;0,03324979;0,42700940
-23,91879127;0,03333499;0,42869170
-23,90855127;0,03330662;0,43149550
-23,89831127;0,03334929;0,44046790
-23,88807127;0,03322132;0,44327180
-23,87783127;0,03329242;0,44523440
-23,86759127;0,03319285;0,44691690
-23,85735127;0,03334921;0,45140330
-23,84711127;0,03316438;0,45785220
-23,83687127;0,03322132;0,46205800
-23,82663127;0,03330663;0,46402080
-23,81639127;0,03324974;0,46430120
-23,80615127;0,03323548;0,46850700
-23,79591127;0,03323553;0,47411460
