Tiempo;average(B);average(A)
(ms);(V);(V)

-23,51716071;0,03023389;0,43529130
-23,50692071;0,03018126;0,43573690
-23,49668071;0,03018870;0,43703720
-23,48644071;0,03020374;0,43681370
-23,47620071;0,03015493;0,43707470
-23,46596071;0,03017368;0,43763150
-23,45572071;0,03013989;0,43803970
-23,44548071;0,03019252;0,43833720
-23,43524071;0,03019628;0,43752010
-23,42500071;0,03014736;0,43774260
-23,41476071;0,03016232;0,43826260
-23,40452071;0,03012852;0,43770560
-23,39428071;0,03018494;0,43781660
-23,38404071;0,03015494;0,43778020
-23,37380071;0,03012851;0,43774270
-23,36356071;0,03015115;0,43722300
-23,35332071;0,03016242;0,43618220
-23,34308071;0,03014737;0,43566250
-23,33284071;0,03010976;0,43566260
-23,32260071;0,03012111;0,43495710
-23,31236071;0,03014734;0,43395410
-23,30212071;0,03013605;0,43287750
-23,29188071;0,03009851;0,43276580
-23,28164071;0,03012475;0,43180130
-23,27140071;0,03009474;0,43157890
-23,26116071;0,03015114;0,43120750
-23,25092071;0,03007215;0,43079980
-23,24068071;0,03006841;0,43020640
-23,23044071;0,03007216;0,42976130
-23,22020071;0,03010225;0,42876010
-23,20996071;0,03009849;0,42716380
-23,19972071;0,03006084;0,42623550
-23,18948071;0,03006830;0,42489780
-23,17924071;0,03003452;0,42393150
-23,16900071;0,03002703;0,42303880
-23,15876071;0,03003078;0,42229640
-23,14852071;0,03000070;0,42118220
-23,13828071;0,03000817;0,41951220
-23,12804071;0,03006086;0,41806460
-23,11780071;0,03008342;0,41661630
-23,10756071;0,03000067;0,41520390
-23,09732071;0,03002702;0,41360600
-23,08708071;0,03002696;0,41275160
-23,07684071;0,02995558;0,41115610
-23,06660071;0,03000819;0,41004210
-23,05636071;0,02999316;0,40744300
-23,04612071;0,03000063;0,40591890
-23,03588071;0,02999316;0,40469310
-23,02564071;0,02999695;0,40339280
-23,01540071;0,02995931;0,40064640
-23,00516071;0,02997811;0,39797260
-22,99492071;0,02995928;0,39618960
-22,98468071;0,02992545;0,39514910
-22,97444071;0,02991035;0,39340540
-22,96420071;0,02995557;0,39177300
-22,95396071;0,02997809;0,38924690
-22,94372071;0,02998188;0,38750060
-22,93348071;0,02986529;0,38534680
-22,92324071;0,02989159;0,38341800
-22,91300071;0,02994805;0,38026650
-22,90276071;0,02994804;0,37844990
-22,89252071;0,02995557;0,37696500
-22,88228071;0,02992542;0,37507000
-22,87204071;0,02995173;0,37187570
-22,86180071;0,02995176;0,36912910
-22,85156071;0,02989155;0,36805320
-22,84132071;0,02987655;0,36597210
-22,83108071;0,02992551;0,36244470
-22,82084071;0,02988785;0,35973340
-22,81060071;0,02990289;0,35795020
-22,80036071;0,02989159;0,35490370
-22,79012071;0,02988783;0,35197120
-22,77988071;0,02983148;0,34970610
-22,76964071;0,02992547;0,34684560
-22,75940071;0,02982019;0,34368890
-22,74916071;0,02984267;0,34135010
-22,73892071;0,02983144;0,33856380
-22,72868071;0,02987284;0,33525880
-22,71844071;0,02986529;0,33303240
-22,70820071;0,02983519;0,33069450
-22,69796071;0,02983520;0,32608990
-22,68772071;0,02983152;0,32374990
-22,67748071;0,02980888;0,32092880
-22,66724071;0,02982015;0,31743970
-22,65700071;0,02982010;0,31383610
-22,64676071;0,02976752;0,31042050
-22,63652071;0,02979760;0,30718800
-22,62628071;0,02980139;0,30495980
-22,61604071;0,02972991;0,30199030
-22,60580071;0,02979379;0,29816420
-22,59556071;0,02976001;0,29563950
-22,58532071;0,02977506;0,29167130
-22,57508071;0,02976003;0,28796250
-22,56484071;0,02973365;0,28461940
-22,55460071;0,02971487;0,28135100
-22,54436071;0,02970728;0,27797190
-22,53412071;0,02971864;0,27466570
-22,52388071;0,02967346;0,27035930
-22,51364071;0,02973358;0,26723890
-22,50340071;0,02975247;0,26367370
-22,49316071;0,02969600;0,26010980
-22,48292071;0,02969976;0,25639500
-22,47268071;0,02966593;0,25227400
-22,46244071;0,02968097;0,24926500
-22,45220071;0,02969604;0,24506840
-22,44196071;0,02960202;0,24091300
-22,43172071;0,02961333;0,23708830
-22,42148071;0,02965460;0,23359770
-22,41124071;0,02963965;0,23010860
-22,40100071;0,02961709;0,22613430
-22,39076071;0,02956437;0,22301320
-22,38052071;0,02958697;0,21814820
-22,37028071;0,02954935;0,21491770
-22,36004071;0,02954550;0,21105690
-22,34980071;0,02953430;0,20682270
-22,33956071;0,02954557;0,20277480
-22,32932071;0,02950422;0,19887500
-22,31908071;0,02951175;0,19560880
-22,30884071;0,02950418;0,19086240
-22,29860071;0,02947793;0,18800540
-22,28836071;0,02946656;0,18340010
-22,27812071;0,02953802;0,17953780
-22,26788071;0,02943279;0,17586060
-22,25764071;0,02944777;0,17066160
-22,24740072;0,02940641;0,16601800
-22,23716072;0,02942521;0,16226950
-22,22692072;0,02932748;0,15866610
-22,21668072;0,02936883;0,15424750
-22,20644072;0,02927860;0,14990340
-22,19620072;0,02930491;0,14544770
-22,18596072;0,02923718;0,14114310
-22,17572072;0,02922588;0,13676100
-22,16548072;0,02919204;0,13289790
-22,15524072;0,02919583;0,12840420
-22,14500072;0,02915071;0,12398500
-22,13476072;0,02909048;0,12001120
-22,12452072;0,02904909;0,11525790
-22,11428072;0,02899270;0,11061540
-22,10404072;0,02900773;0,10667860
-22,09380072;0,02896257;0,10248400
-22,08356072;0,02893256;0,09784219
-22,07332072;0,02886866;0,09272365
-22,06308072;0,02882720;0,08942134
-22,05284072;0,02872946;0,08522430
-22,04260072;0,02866170;0,08110256
-22,03236072;0,02861279;0,07660934
-22,02212072;0,02856769;0,07200396
-22,01188072;0,02851133;0,06754757
-22,00164072;0,02847361;0,06316607
-21,99140072;0,02835326;0,05893174
-21,98116072;0,02828186;0,05466163
-21,97092072;0,02817653;0,04979623
-21,96068072;0,02810876;0,04545268
-21,95044072;0,02796586;0,04044170
-21,94020072;0,02778157;0,03635628
-21,92996072;0,02769884;0,03201219
-21,91972072;0,02749571;0,02685074
-21,90948072;0,02725498;0,02183651
-21,89924072;0,02707073;0,01812196
-21,88900072;0,02680367;0,01348124
-21,87876072;0,02644635;0,00876449
-21,86852072;0,02594616;0,00464739
-21,85828072;0,02499831;0,00030922
-21,84804072;0,02004849;-0,00376916
-21,83780072;0,00272475;-0,00925884
-21,82756072;-0,02128997;-0,01338060
-21,81732072;-0,03028678;-0,01753959
-21,80708072;-0,02752979;-0,02229150
-21,79684072;-0,02652553;-0,02682299
-21,78660072;-0,02742826;-0,03217042
-21,77636072;-0,02774421;-0,03588413
-21,76612072;-0,02770285;-0,04078703
-21,75588072;-0,02783074;-0,04512936
-21,74564072;-0,02795482;-0,04991856
-21,73540072;-0,02810153;-0,05385553
-21,72516072;-0,02818796;-0,05842225
-21,71492072;-0,02821059;-0,06254544
-21,70468072;-0,02825195;-0,06774493
-21,69444072;-0,02834219;-0,07186712
-21,68420072;-0,02844759;-0,07587624
-21,67396072;-0,02848507;-0,08085342
-21,66372072;-0,02853776;-0,08493802
-21,65348072;-0,02859043;-0,08920947
-21,64324072;-0,02862434;-0,09325328
-21,63300072;-0,02870330;-0,09792633
-21,62276072;-0,02874088;-0,10208350
-21,61252072;-0,02875594;-0,10746840
-21,60228072;-0,02878597;-0,11088640
-21,59204072;-0,02884618;-0,11571460
-21,58180072;-0,02883492;-0,12106200
-21,57156072;-0,02892514;-0,12499840
-21,56132072;-0,02894771;-0,12841500
-21,55108072;-0,02894770;-0,13305700
-21,54084072;-0,02897021;-0,13650970
-21,53060072;-0,02894772;-0,14174600
-21,52036072;-0,02900411;-0,14556780
-21,51012072;-0,02901165;-0,14942930
-21,49988072;-0,02904176;-0,15388650
-21,48964072;-0,02904553;-0,15852900
-21,47940072;-0,02906427;-0,16231710
-21,46916072;-0,02907184;-0,16654990
-21,45892072;-0,02916959;-0,17078410
-21,44868072;-0,02910572;-0,17531490
-21,43844072;-0,02908693;-0,17962330
-21,42820072;-0,02913208;-0,18285210
-21,41796072;-0,02917718;-0,18738280
-21,40772072;-0,02914332;-0,19135370
-21,39748072;-0,02911322;-0,19595230
-21,38724072;-0,02914333;-0,19851350
-21,37700072;-0,02917717;-0,20274760
-21,36676072;-0,02910196;-0,20634920
-21,35652072;-0,02917721;-0,21047150
-21,34628072;-0,02910577;-0,21474220
-21,33604072;-0,02912827;-0,21778880
-21,32580072;-0,02922232;-0,22187360
-21,31556072;-0,02918841;-0,22569890
-21,30532072;-0,02913582;-0,22993260
-21,29508072;-0,02915835;-0,23357100
-21,28484072;-0,02915836;-0,23754560
-21,27460072;-0,02920350;-0,24084940
-21,26436072;-0,02921099;-0,24385610
-21,25412072;-0,02914708;-0,24857110
-21,24388072;-0,02917344;-0,25198800
-21,23364072;-0,02921482;-0,25532790
-21,22340072;-0,02921103;-0,25970950
-21,21316072;-0,02915841;-0,26401790
-21,20292072;-0,02916969;-0,26791860
-21,19268072;-0,02916202;-0,27029530
-21,18244072;-0,02917335;-0,27371010
-21,17220072;-0,02917717;-0,27731310
-21,16196072;-0,02919218;-0,28017380
-21,15172072;-0,02917336;-0,28396200
-21,14148072;-0,02916958;-0,28741590
-21,13124072;-0,02919594;-0,29027220
-21,12100072;-0,02915836;-0,29379470
-21,11076072;-0,02921475;-0,29732030
-21,10052072;-0,02917342;-0,30114590
-21,09028072;-0,02917717;-0,30467200
-21,08004072;-0,02916964;-0,30660370
-21,06980072;-0,02916958;-0,30983600
-21,05956072;-0,02915078;-0,31328960
-21,04932072;-0,02912451;-0,31644570
-21,03908072;-0,02910565;-0,32001060
-21,02884072;-0,02913952;-0,32335210
-21,01860072;-0,02912073;-0,32561950
-21,00836072;-0,02917719;-0,32851630
-20,99812072;-0,02915453;-0,33204180
-20,98788072;-0,02914331;-0,33493600
-20,97764072;-0,02911693;-0,33864870
-20,96740072;-0,02912448;-0,34154690
-20,95716072;-0,02915085;-0,34310500
-20,94692072;-0,02910951;-0,34559260
-20,93668072;-0,02912829;-0,34897290
-20,92644072;-0,02915086;-0,35083010
-20,91620072;-0,02909440;-0,35331870
-20,90596072;-0,02907187;-0,35651310
-20,89572072;-0,02908687;-0,35937220
-20,88548072;-0,02907184;-0,36119080
-20,87524072;-0,02909820;-0,36319580
-20,86500072;-0,02910190;-0,36642720
-20,85476072;-0,02913202;-0,36806140
-20,84452072;-0,02906806;-0,37088340
-20,83428072;-0,02912831;-0,37359400
-20,82404072;-0,02909065;-0,37567450
-20,81380072;-0,02906059;-0,37771730
-20,80356072;-0,02910565;-0,37912720
-20,79332072;-0,02906811;-0,38157420
-20,78308072;-0,02905680;-0,38324250
-20,77284072;-0,02902677;-0,38587550
-20,76260072;-0,02903050;-0,38743490
-20,75236072;-0,02905306;-0,38910640
-20,74212072;-0,02906437;-0,39200350
-20,73188072;-0,02901543;-0,39382260
-20,72164072;-0,02902295;-0,39567900
-20,71140072;-0,02904924;-0,39694220
-20,70116072;-0,02898913;-0,39857700
-20,69092072;-0,02906051;-0,40032320
-20,68068072;-0,02905683;-0,40310710
-20,67044072;-0,02899285;-0,40414690
-20,66020072;-0,02906431;-0,40593070
-20,64996072;-0,02900038;-0,40823330
-20,63972072;-0,02901167;-0,41005350
-20,62948072;-0,02899659;-0,41157510
-20,61924072;-0,02898908;-0,41298530
-20,60900073;-0,02894768;-0,41343060
-20,59876073;-0,02898906;-0,41450810
