Tiempo;average(B);average(A)
(ms);(V);(V)

-25,00593186;-0,02602299;-0,00767613
-24,99569186;-0,02588199;-0,00384315
-24,98545186;-0,02571952;-0,00192630
-24,97521186;-0,02544859;0,00169669
-24,96497186;-0,02525367;0,00852194
-24,95473186;-0,02491761;0,01406904
-24,94449186;-0,02449515;0,01577808
-24,93425186;-0,02405082;0,02026430
-24,92401186;-0,02251192;0,02517778
-24,91377186;-0,01590215;0,02945036
-24,90353186;0,00210651;0,03286843
-24,89329186;0,02444959;0,03500473
-24,88305186;0,03220820;0,04055911
-24,87281186;0,02918493;0,04739526
-24,86257186;0,02832881;0,05166786
-24,85233186;0,02915241;0,05615405
-24,84209186;0,02958582;0,06256297
-24,83185186;0,02953164;0,06683558
-24,82161186;0,02958578;0,06854393
-24,81137186;0,02982415;0,07217488
-24,80113186;0,02987839;0,07878648
-24,79089186;0,02993249;0,08475500
-24,78065186;0,03010598;0,08752708
-24,77041186;0,03006256;0,09073155
-24,76017186;0,03010598;0,09585863
-24,74993186;0,03021431;0,10119940
-24,73969186;0,03030104;0,10461750
-24,72945186;0,03037687;0,10675370
-24,71921186;0,03035522;0,11188080
-24,70897186;0,03042031;0,11700800
-24,69873186;0,03052846;0,12170780
-24,68849186;0,03047434;0,12533960
-24,67825186;0,03049602;0,13025300
-24,66801186;0,03060433;0,13602100
-24,65777186;0,03064768;0,13965270
-24,64753186;0,03062609;0,14136180
-24,63729186;0,03062606;0,14499350
-24,62705186;0,03077771;0,15268410
-24,61681186;0,03074518;0,15695600
-24,60657186;0,03074522;0,15972950
-24,59633186;0,03087536;0,16334960
-24,58609186;0,03079950;0,16846510
-24,57585186;0,03081033;0,17444390
-24,56561186;0,03089694;0,17636650
-24,55537186;0,03081033;0,17893010
-24,54513186;0,03086453;0,18277540
-24,53489186;0,03083198;0,18982520
-24,52465186;0,03084277;0,19388410
-24,51441186;0,03083201;0,19687490
-24,50417186;0,03092957;0,20221570
-24,49393186;0,03096209;0,20670200
-24,48369186;0,03091867;0,21118820
-24,47345186;0,03089698;0,21247000
-24,46321186;0,03098367;0,21588800
-24,45297186;0,03096198;0,22400590
-24,44273186;0,03099446;0,22870570
-24,43249186;0,03096204;0,23169650
-24,42225186;0,03095111;0,23553900
-24,41201186;0,03090790;0,24087250
-24,40177186;0,03098366;0,24641170
-24,39153186;0,03101622;0,24832920
-24,38129186;0,03108114;0,25067910
-24,37105186;0,03097277;0,25623350
-24,36081186;0,03095119;0,26157410
-24,35057186;0,03102705;0,26456500
-24,34033186;0,03094036;0,26755580
-24,33009186;0,03099460;0,27396490
-24,31985186;0,03097287;0,27823730
-24,30961186;0,03101622;0,28272350
-24,29937186;0,03100532;0,28379170
-24,28913186;0,03101611;0,28827790
-24,27889186;0,03094032;0,29639580
-24,26865186;0,03098367;0,30024120
-24,25841186;0,03101622;0,30173660
-24,24817186;0,03095108;0,30515480
-24,23793186;0,03098373;0,31199080
-24,22769186;0,03091863;0,31647700
-24,21745186;0,03101611;0,31925400
-24,20721186;0,03096194;0,32053290
-24,19697186;0,03097277;0,32308930
-24,18673186;0,03102697;0,32969650
-24,17649186;0,03100521;0,33439220
-24,16625186;0,03099453;0,33973220
-24,15601186;0,03098355;0,34400480
-24,14577186;0,03094042;0,34891820
-24,13553186;0,03092949;0,35425880
-24,12529186;0,03098362;0,35575420
-24,11505186;0,03091859;0,35618150
-24,10481186;0,03095111;0,36429950
-24,09457186;0,03094032;0,36921310
-24,08433186;0,03098363;0,37327200
-24,07409186;0,03100525;0,37412650
-24,06385186;0,03092942;0,37669010
-24,05361186;0,03094039;0,38352620
-24,04337186;0,03088622;0,38694430
-24,03313186;0,03096197;0,39057620
-24,02289186;0,03089694;0,39185800
-24,01265186;0,03090777;0,39463510
-24,00241186;0,03096200;0,40188750
-23,99217186;0,03088615;0,40657630
-23,98193186;0,03103787;0,40934630
-23,97169186;0,03090780;0,41212270
-23,96145186;0,03098359;0,41660820
-23,95121186;0,03090787;0,42237620
-23,94097186;0,03094032;0,42536730
-23,93073186;0,03091860;0,42707630
-23,92049186;0,03088607;0,42814440
-23,91025186;0,03089694;0,43327150
-23,90001186;0,03084270;0,44117560
-23,88977186;0,03089701;0,44502080
-23,87953186;0,03090791;0,44523450
-23,86929186;0,03090777;0,44865260
-23,85905186;0,03083195;0,45377980
-23,84881186;0,03089694;0,45826610
-23,83857186;0,03084288;0,46232490
-23,82833186;0,03086449;0,46339300
-23,81809186;0,03087539;0,46467490
-23,80785187;0,03086446;0,47022910
-23,79761187;0,03094032;0,47557000
