Tiempo;average(B);average(A)
(ms);(V);(V)

-23,52428450;0,42816860;0,56788830
-23,51404450;0,42792200;0,57026890
-23,50380450;0,42829180;0,57124400
-23,49356450;0,42826130;0,57337430
-23,48332450;0,42816860;0,57763710
-23,47308450;0,42823010;0,58421890
-23,46284450;0,42813800;0,58812200
-23,45260450;0,42826140;0,58915940
-23,44236450;0,42847610;0,59062450
-23,43212450;0,42835300;0,59404250
-23,42188450;0,42841450;0,59886450
-23,41164450;0,42838410;0,60325900
-23,40140450;0,42853820;0,60502920
-23,39116450;0,42826040;0,60655490
-23,38092450;0,42835280;0,60765370
-23,37068450;0,42844520;0,61003390
-23,36044450;0,42832210;0,61467300
-23,35020450;0,42878370;0,61894520
-23,33996450;0,42847610;0,62272970
-23,32972450;0,42832250;0,62486630
-23,31948450;0,42844580;0,62834570
-23,30924450;0,42832230;0,63249700
-23,29900450;0,42881460;0,63658650
-23,28876450;0,42841440;0,64037090
-23,27852450;0,42844540;0,64207990
-23,26828450;0,42856830;0,64256850
-23,25804450;0,42859860;0,64403240
-23,24780450;0,42853750;0,64903150
-23,23756450;0,42856780;0,65268770
-23,22732450;0,42862960;0,65804840
-23,21708450;0,42862950;0,65938780
-23,20684450;0,42866080;0,66084860
-23,19660450;0,42841410;0,66261900
-23,18636450;0,42862980;0,66591470
-23,17612450;0,42853750;0,66890540
-23,16588450;0,42853720;0,67372740
-23,15564450;0,42853710;0,67653500
-23,14540450;0,42862960;0,67799970
-23,13516450;0,42884460;0,67873220
-23,12492450;0,42866020;0,68044120
-23,11468450;0,42866020;0,68288280
-23,10444450;0,42869150;0,68685070
-23,09420450;0,42850660;0,69136740
-23,08396450;0,42850650;0,69448040
-23,07372450;0,42856790;0,69631150
-23,06348450;0,42881390;0,69710490
-23,05324450;0,42844500;0,70003470
-23,04300450;0,42847560;0,70272040
-23,03276450;0,42826060;0,70552830
-23,02252450;0,42853680;0,70906790
-23,01228451;0,42819900;0,71279110
-23,00204451;0,42841450;0,71382870
-22,99180451;0,42859870;0,71431710
-22,98156451;0,42875260;0,71517120
-22,97132451;0,42844460;0,71627010
-22,96108451;0,42856800;0,72139720
-22,95084451;0,42841390;0,72566980
-22,94060451;0,42835300;0,72908750
-22,93036451;0,42835300;0,73140720
-22,92012451;0,42838330;0,73244390
-22,90988451;0,42866000;0,73311330
-22,89964451;0,42816820;0,73439060
-22,88940451;0,42844500;0,73712890
-22,87916451;0,42835250;0,74035600
-22,86892451;0,42819870;0,74303620
-22,85868451;0,42838320;0,74614850
-22,84844451;0,42835280;0,74858880
-22,83820451;0,42853710;0,74980940
-22,82796451;0,42844490;0,75029780
-22,81772451;0,42804530;0,75066390
-22,80748451;0,42841400;0,75188510
-22,79724451;0,42804490;0,75359390
-22,78700451;0,42804520;0,75670650
-22,77676451;0,42822950;0,75945300
-22,76652451;0,42786030;0,76201670
-22,75628451;0,42829100;0,76494650
-22,74604451;0,42810620;0,76677720
-22,73580451;0,42782950;0,76775370
-22,72556451;0,42816810;0,76885270
-22,71532451;0,42810650;0,77141640
-22,70508451;0,42782990;0,77220960
-22,69484451;0,42801410;0,77495590
-22,68460451;0,42804520;0,77782440
-22,67436451;0,42776830;0,77983900
-22,66412451;0,42792200;0,78136520
-22,65388451;0,42779890;0,78417240
-22,64364451;0,42776830;0,78514910
-22,63340451;0,42761420;0,78588150
-22,62316451;0,42801450;0,78612600
-22,61292451;0,42755310;0,78649160
-22,60268451;0,42773780;0,78771260
-22,59244451;0,42770670;0,78917740
-22,58220451;0,42761450;0,79119180
-22,57196451;0,42770650;0,79522020
-22,56172451;0,42749150;0,79815010
-22,55148451;0,42758410;0,80120150
-22,54124451;0,42767560;0,80297140
-22,53100451;0,42758400;0,80376510
-22,52076451;0,42736840;0,80376520
-22,51052451;0,42721460;0,80480260
-22,50028451;0,42721480;0,80541290
-22,49004451;0,42727630;0,80651210
-22,47980451;0,42715320;0,80754830
-22,46956451;0,42721490;0,80944070
-22,45932451;0,42706110;0,81187830
-22,44908451;0,42696880;0,81407150
-22,43884451;0,42712270;0,81608140
-22,42860451;0,42703050;0,81815140
-22,41836451;0,42733770;0,81930800
-22,40812451;0,42681510;0,82070770
-22,39788451;0,42693780;0,82137620
-22,38764451;0,42681480;0,82143740
-22,37740451;0,42693800;0,82210710
-22,36716451;0,42703040;0,82204690
-22,35692451;0,42696880;0,82222920
-22,34668451;0,42687660;0,82320570
-22,33644451;0,42693790;0,82344990
-22,32620451;0,42684610;0,82521980
-22,31596451;0,42681480;0,82705130
-22,30572451;0,42687660;0,82845440
-22,29548451;0,42669190;0,83071300
-22,28524451;0,42644610;0,83144530
-22,27500451;0,42666090;0,83364300
-22,26476451;0,42663020;0,83443620
-22,25452451;0,42638480;0,83553490
-22,24428451;0,42629220;0,83681650
-22,23404451;0,42629200;0,83767120
-22,22380451;0,42626150;0,83864790
-22,21356451;0,42635350;0,83895280
-22,20332451;0,42635370;0,83968560
-22,19308451;0,42620040;0,83974610
-22,18284451;0,42626170;0,84005180
