Tiempo;Canal A
(ms);(V)

-50,02424121;-5,80340000
-50,01400121;-5,80340000
-50,00376121;-5,80340000
-49,99352121;-5,80340000
-49,98328121;-5,80340000
-49,97304121;-5,80340000
-49,96280121;-5,80340000
-49,95256121;-5,80340000
-49,94232121;-5,80340000
-49,93208121;-5,80340000
-49,92184121;-5,80340000
-49,91160121;-5,80340000
-49,90136121;-5,80340000
-49,89112121;-5,80340000
-49,88088121;-5,80340000
-49,87064121;-5,80340000
-49,86040121;-5,80340000
-49,85016121;-5,80340000
-49,83992121;-5,80340000
-49,82968121;-5,80340000
-49,81944121;-5,80340000
-49,80920121;-5,80340000
-49,79896121;-5,80340000
-49,78872121;-5,80340000
-49,77848121;-5,80340000
-49,76824121;-5,80340000
-49,75800121;-5,80340000
-49,74776121;-5,80340000
-49,73752121;-5,80340000
-49,72728121;-5,80340000
-49,71704121;-5,80340000
-49,70680121;-5,80340000
-49,69656121;-5,80340000
-49,68632121;-5,80340000
-49,67608121;-5,80340000
-49,66584121;-5,80340000
-49,65560121;-5,80340000
-49,64536121;-5,80340000
-49,63512121;-5,80340000
-49,62488121;-5,80340000
-49,61464121;-5,80340000
-49,60440121;-5,80340000
-49,59416121;-5,80340000
-49,58392121;-5,80340000
-49,57368121;-5,80340000
-49,56344121;-5,80340000
-49,55320121;-5,80340000
-49,54296121;-5,80340000
-49,53272121;-5,80340000
-49,52248121;-5,80340000
-49,51224121;-5,80340000
-49,50200121;-5,80340000
-49,49176121;-5,80340000
-49,48152121;-5,80340000
-49,47128121;-5,80340000
-49,46104121;-5,80340000
-49,45080121;-5,80340000
-49,44056121;-5,80340000
-49,43032121;-5,80340000
-49,42008121;-5,80340000
-49,40984121;-5,80340000
-49,39960121;-5,80340000
-49,38936121;-5,80340000
-49,37912121;-5,80340000
-49,36888121;-5,80340000
-49,35864121;-5,80340000
-49,34840121;-5,80340000
-49,33816121;-5,80340000
-49,32792121;-5,80340000
-49,31768121;-5,80340000
-49,30744121;-5,80340000
-49,29720121;-5,80340000
-49,28696121;-5,80340000
-49,27672121;-5,80340000
-49,26648121;-5,80340000
-49,25624121;-5,80340000
-49,24600121;-5,80340000
-49,23576121;-5,80340000
-49,22552121;-5,80340000
-49,21528121;-5,80340000
-49,20504121;-5,80340000
-49,19480121;-5,80340000
-49,18456121;-5,80340000
-49,17432121;-5,80340000
-49,16408121;-5,80340000
-49,15384121;-5,80340000
-49,14360121;-5,80340000
-49,13336121;-5,80340000
-49,12312121;-5,80340000
-49,11288121;-5,80340000
-49,10264121;-5,80340000
-49,09240121;-5,80340000
-49,08216121;-5,80340000
-49,07192121;-5,80340000
-49,06168121;-5,80340000
-49,05144121;-5,80340000
-49,04120122;-5,80340000
-49,03096122;-5,80340000
-49,02072122;-5,80340000
-49,01048122;-5,80340000
-49,00024122;-5,80340000
-48,99000122;-5,80340000
-48,97976122;-5,80340000
-48,96952122;-5,80340000
-48,95928122;-5,80340000
-48,94904122;-5,80340000
-48,93880122;-5,80340000
-48,92856122;-5,80340000
-48,91832122;-5,80340000
-48,90808122;-5,80340000
