Tiempo;Canal A
(ms);(V)

-50,02929270;-5,80340000
-50,01905270;-5,80340000
-50,00881270;-5,80340000
-49,99857270;-5,80340000
-49,98833270;-5,80340000
-49,97809270;-5,80340000
-49,96785270;-5,80340000
-49,95761270;-5,80340000
-49,94737270;-5,80340000
-49,93713270;-5,80340000
-49,92689270;-5,80340000
-49,91665270;-5,80340000
-49,90641270;-5,80340000
-49,89617270;-5,80340000
-49,88593270;-5,80340000
-49,87569270;-5,80340000
-49,86545270;-5,80340000
-49,85521270;-5,80340000
-49,84497270;-5,80340000
-49,83473270;-5,80340000
-49,82449270;-5,80340000
-49,81425270;-5,80340000
-49,80401270;-5,80340000
-49,79377270;-5,80340000
-49,78353270;-5,80340000
-49,77329270;-5,80340000
-49,76305270;-5,80340000
-49,75281270;-5,80340000
-49,74257270;-5,80340000
-49,73233270;-5,80340000
-49,72209270;-5,80340000
-49,71185270;-5,80340000
-49,70161270;-5,80340000
-49,69137270;-5,80340000
-49,68113270;-5,80340000
-49,67089270;-5,80340000
-49,66065270;-5,80340000
-49,65041270;-5,80340000
-49,64017271;-5,80340000
-49,62993271;-5,80340000
-49,61969271;-5,80340000
-49,60945271;-5,80340000
-49,59921271;-5,80340000
-49,58897271;-5,80340000
-49,57873271;-5,80340000
-49,56849271;-5,80340000
-49,55825271;-5,80340000
-49,54801271;-5,80340000
-49,53777271;-5,80340000
-49,52753271;-5,80340000
-49,51729271;-5,80340000
-49,50705271;-5,80340000
-49,49681271;-5,80340000
-49,48657271;-5,80340000
-49,47633271;-5,80340000
-49,46609271;-5,80340000
-49,45585271;-5,80340000
-49,44561271;-5,80340000
-49,43537271;-5,80340000
-49,42513271;-5,80340000
-49,41489271;-5,80340000
-49,40465271;-5,80340000
-49,39441271;-5,80340000
-49,38417271;-5,80340000
-49,37393271;-5,80340000
-49,36369271;-5,80340000
-49,35345271;-5,80340000
-49,34321271;-5,80340000
-49,33297271;-5,80340000
-49,32273271;-5,80340000
-49,31249271;-5,80340000
-49,30225271;-5,80340000
-49,29201271;-5,80340000
-49,28177271;-5,80340000
-49,27153271;-5,80340000
-49,26129271;-5,80340000
-49,25105271;-5,80340000
-49,24081271;-5,80340000
-49,23057271;-5,80340000
-49,22033271;-5,80340000
-49,21009271;-5,80340000
-49,19985271;-5,80340000
-49,18961271;-5,80340000
-49,17937271;-5,80340000
-49,16913271;-5,80340000
-49,15889271;-5,80340000
-49,14865271;-5,80340000
-49,13841271;-5,80340000
-49,12817271;-5,80340000
-49,11793271;-5,80340000
-49,10769271;-5,80340000
-49,09745271;-5,80340000
-49,08721271;-5,80340000
-49,07697271;-5,80340000
-49,06673271;-5,80340000
-49,05649271;-5,80340000
-49,04625271;-5,80340000
-49,03601271;-5,80340000
-49,02577271;-5,80340000
-49,01553271;-5,80340000
-49,00529271;-5,80340000
-48,99505271;-5,80340000
-48,98481271;-5,80340000
-48,97457271;-5,80340000
-48,96433271;-5,80340000
-48,95409271;-5,80340000
-48,94385271;-5,80340000
-48,93361271;-5,80340000
-48,92337271;-5,80340000
-48,91313271;-5,80340000
