Tiempo;average(A);average(B)
(ms);(V);(V)

-23,53738366;0,56164070;1,52983900
-23,52714366;0,56609390;1,52999500
-23,51690366;0,56922120;1,53155800
-23,50666366;0,57073660;1,53124600
-23,49642366;0,57236380;1,53108900
-23,48618366;0,57623200;1,53234000
-23,47594366;0,58149240;1,53124600
-23,46570366;0,58588120;1,53280800
-23,45546366;0,58826850;1,53374600
-23,44522366;0,58982310;1,53343400
-23,43498366;0,59239520;1,53405900
-23,42474366;0,59619540;1,53343400
-23,41450366;0,60063860;1,53327800
-23,40426366;0,60402510;1,53327800
-23,39402366;0,60598310;1,53484000
-23,38378366;0,60705850;1,53499600
-23,37354366;0,60876570;1,53499600
-23,36330366;0,61207600;1,53562200
-23,35306366;0,61612630;1,53546600
-23,34282366;0,62061700;1,53515200
-23,33258366;0,62375600;1,53546500
-23,32234366;0,62668200;1,53468400
-23,31210366;0,62993560;1,53624700
-23,30186366;0,63400510;1,53687100
-23,29162366;0,63824580;1,53671600
-23,28138366;0,64101900;1,53843400
-23,27114366;0,64241090;1,53687100
-23,26090366;0,64356130;1,53796500
-23,25066366;0,64540180;1,53812200
-23,24042366;0,64996370;1,53843400
-23,23018366;0,65462640;1,53702800
-23,21994366;0,65832140;1,53781000
-23,20970366;0,66028240;1,53890300
-23,19946366;0,66182560;1,53843500
-23,18922366;0,66368760;1,53874700
-23,17898366;0,66730500;1,53921600
-23,16874366;0,67090330;1,53921500
-23,15850366;0,67437670;1,53952900
-23,14826366;0,67709280;1,54046600
-23,13802366;0,67820540;1,53937200
-23,12778366;0,67952970;1,54015400
-23,11754366;0,68136230;1,53984100
-23,10730366;0,68437590;1,53921600
-23,09706366;0,68813720;1,54015400
-23,08682366;0,69202360;1,53937200
-23,07658366;0,69464240;1,54109100
-23,06634367;0,69637000;1,53999700
-23,05610367;0,69805870;1,54093500
-23,04586367;0,70064980;1,54062300
-23,03562367;0,70390340;1,53984100
-23,02538367;0,70686820;1,54156000
-23,01514367;0,70993900;1,54077800
-23,00490367;0,71247170;1,54077900
-22,99466367;0,71391120;1,54234100
-22,98442367;0,71450490;1,54249700
-22,97418367;0,71596490;1,54296600
-22,96394367;0,71805580;1,54218500
-22,95370367;0,72177980;1,54312200
-22,94346367;0,72618360;1,54171600
-22,93322367;0,72941740;1,54265400
-22,92298367;0,73134600;1,54234200
-22,91274367;0,73232390;1,54312300
-22,90250367;0,73328130;1,54327900
-22,89226367;0,73485220;1,54249800
-22,88202367;0,73700600;1,54374800
-22,87178367;0,74045530;1,54218500
-22,86154367;0,74383020;1,54265400
-22,85130367;0,74605540;1,54312200
-22,84106367;0,74834890;1,54265300
-22,83082367;0,74969190;1,54437300
-22,82058367;0,75015280;1,54374800
-22,81034367;0,75087280;1,54484100
-22,80010367;0,75204330;1,54234100
-22,78986367;0,75386640;1,54359200
-22,77962367;0,75659220;1,54421700
-22,76938367;0,75975890;1,54374800
-22,75914367;0,76274370;1,54343600
-22,74890367;0,76504650;1,54359100
-22,73866367;0,76683100;1,54421600
-22,72842367;0,76813640;1,54437300
-22,71818367;0,76889360;1,54359200
-22,70794367;0,77023790;1,54515400
-22,69770367;0,77273270;1,54406000
-22,68746367;0,77504530;1,54452900
-22,67722367;0,77734850;1,54359100
-22,66698367;0,77960380;1,54296600
-22,65674367;0,78212710;1,54468500
-22,64650367;0,78395100;1,54452900
-22,63626367;0,78508380;1,54484200
-22,62602367;0,78572530;1,54531100
-22,61578367;0,78622440;1,54531000
-22,60554367;0,78662720;1,54531000
-22,59530367;0,78738560;1,54406000
-22,58506367;0,78902670;1,54531000
-22,57482367;0,79130060;1,54452900
-22,56458367;0,79438100;1,54359100
-22,55434367;0,79735540;1,54437300
-22,54410367;0,80019650;1,54359100
-22,53386367;0,80183710;1,54593500
-22,52362367;0,80306550;1,54437300
-22,51338367;0,80402490;1,54437300
-22,50314367;0,80450540;1,54437300
-22,49290367;0,80540720;1,54452900
-22,48266367;0,80616510;1,54531000
-22,47242367;0,80757500;1,54421600
-22,46218367;0,80933990;1,54484100
-22,45194367;0,81120800;1,54421600
-22,44170367;0,81300870;1,54421600
-22,43146367;0,81495140;1,54343500
-22,42122367;0,81682600;1,54359100
-22,41098367;0,81872840;1,54437300
-22,40074367;0,81973120;1,54406000
-22,39050367;0,82084020;1,54484100
-22,38026367;0,82139370;1,54452900
-22,37002367;0,82188190;1,54359100
-22,35978367;0,82198750;1,54452900
-22,34954367;0,82245680;1,54374800
-22,33930367;0,82283990;1,54499800
-22,32906367;0,82357010;1,54390400
-22,31882367;0,82452080;1,54421700
-22,30858367;0,82570990;1,54374800
-22,29834367;0,82667030;1,54359200
-22,28810367;0,82830000;1,54343500
-22,27786367;0,83009560;1,54359200
-22,26762367;0,83135180;1,54359200
-22,25738367;0,83253230;1,54343600
-22,24714367;0,83428790;1,54327900
-22,23690367;0,83544000;1,54281000
-22,22666367;0,83700400;1,54187300
-22,21642367;0,83748330;1,54249700
-22,20618367;0,83826070;1,54296600
-22,19594367;0,83904770;1,54218400
-22,18570367;0,83941240;1,54281000
-22,17546367;0,83981530;1,54218500
-22,16522367;0,84012200;1,54140400
-22,15498367;0,84040020;1,54312300
-22,14474367;0,84067970;1,54171600
-22,13450367;0,84126470;1,54218400
-22,12426367;0,84145610;1,54218400
-22,11402367;0,84218550;1,54156000
-22,10378367;0,84254050;1,54249800
-22,09354367;0,84345230;1,54202900
-22,08330367;0,84417200;1,54155900
-22,07306367;0,84458390;1,54218500
-22,06282367;0,84505400;1,54171600
-22,05258367;0,84628340;1,54062200
-22,04234367;0,84661930;1,54093500
-22,03210367;0,84716580;1,54109100
-22,02186367;0,84764540;1,54218400
-22,01162367;0,84800120;1,54109100
-22,00138367;0,84847070;1,54077900
-21,99114367;0,84941120;1,54077800
-21,98090367;0,84953610;1,54093500
-21,97066367;0,85007300;1,53999700
-21,96042367;0,85052400;1,54030900
-21,95018367;0,85073520;1,53952800
-21,93994367;0,85090830;1,53984100
-21,92970367;0,85159940;1,53952800
-21,91946367;0,85164700;1,53921600
-21,90922367;0,85181870;1,53890300
-21,89898367;0,85207830;1,53905900
-21,88874367;0,85197370;1,53937200
-21,87850367;0,85246220;1,53843400
-21,86826367;0,85237630;1,53843400
-21,85802367;0,85242340;1,53843500
-21,84778367;0,85248180;1,53859100
-21,83754367;0,85265370;1,53780900
-21,82730367;0,85296230;1,53874700
-21,81706367;0,85267350;1,53718400
-21,80682367;0,85272230;1,53765300
-21,79658367;0,85190660;1,53827800
-21,78634367;0,85207870;1,53687200
-21,77610367;0,85166600;1,53671500
-21,76586367;0,85153190;1,53749700
-21,75562367;0,85140640;1,53530900
-21,74538367;0,85142580;1,53671600
-21,73514367;0,85081270;1,53577800
-21,72490367;0,85040920;1,53593400
-21,71466367;0,85002510;1,53718400
-21,70442367;0,84939160;1,53671500
-21,69418367;0,84947750;1,53577700
-21,68394367;0,84879770;1,53593400
-21,67370367;0,84828790;1,53530900
