Tiempo;Canal A;Canal B
(ms);(V);(mV)

-25,01367964;-0,02111881;-23,32530000
-25,00343964;-0,02111881;-22,41432000
-24,99319964;-0,01214637;-22,41432000
-24,98295964;-0,00320444;-22,41432000
-24,97271964;-0,00320444;-21,95959000
-24,96247964;0,00573748;-21,95959000
-24,95223964;0,01470992;-21,95959000
-24,94199964;0,01470992;-21,50487000
-24,93175964;0,01470992;-21,04861000
-24,92151964;0,02368236;-20,59389000
-24,91127964;0,03265481;-19,68444000
-24,90103964;0,03265481;-17,40776000
-24,89079964;0,03265481;-8,30561300
-24,88055964;0,03265481;15,35844000
-24,87031964;0,04162725;22,18543000
-24,86007964;0,05059969;17,17887000
-24,84983964;0,05059969;16,26789000
-24,83959964;0,05059969;17,17887000
-24,82935964;0,06854457;17,63359000
-24,81911964;0,06854457;18,08832000
-24,80887964;0,06854457;17,17887000
-24,79863964;0,06854457;18,54457000
-24,78839964;0,07751702;18,54457000
-24,77815964;0,08645894;18,54457000
-24,76791964;0,08645894;18,54457000
-24,75767964;0,08645894;18,54457000
-24,74743964;0,09543138;18,99930000
-24,73719964;0,09543138;18,54457000
-24,72695964;0,10440380;18,99930000
-24,71671964;0,10440380;18,99930000
-24,70647964;0,10440380;18,99930000
-24,69623964;0,12234870;19,90875000
-24,68599964;0,12234870;19,90875000
-24,67575964;0,12234870;19,90875000
-24,66551964;0,13132110;19,45402000
-24,65527964;0,13132110;19,90875000
-24,64503964;0,14029360;19,90875000
-24,63479964;0,14029360;19,45402000
-24,62455964;0,14029360;19,45402000
-24,61431964;0,15823850;19,90875000
-24,60407964;0,15823850;20,36500000
-24,59383964;0,15823850;19,90875000
-24,58359964;0,16718040;19,90875000
-24,57335964;0,16718040;19,90875000
-24,56311964;0,16718040;20,36500000
-24,55287964;0,17615280;20,81973000
-24,54263964;0,18512530;19,90875000
-24,53239964;0,18512530;20,81973000
-24,52215964;0,19409770;20,36500000
-24,51191964;0,19409770;20,81973000
-24,50167964;0,20307020;20,81973000
-24,49143964;0,21204260;20,81973000
-24,48119964;0,20307020;21,27445000
-24,47095964;0,21204260;20,81973000
-24,46071964;0,22101510;20,81973000
-24,45047964;0,22101510;20,81973000
-24,44023964;0,22998750;20,81973000
-24,42999964;0,22998750;21,27445000
-24,41975964;0,22998750;20,81973000
-24,40951964;0,23895990;20,81973000
-24,39927964;0,23895990;21,27445000
-24,38903964;0,24790190;20,81973000
-24,37879964;0,24790190;21,72918000
-24,36855964;0,24790190;20,81973000
-24,35831964;0,26584670;20,81973000
-24,34807964;0,25687430;21,72918000
-24,33783964;0,26584670;21,27445000
-24,32759964;0,26584670;21,72918000
-24,31735964;0,27481920;20,81973000
-24,30711964;0,28379160;22,18543000
-24,29687964;0,28379160;21,72918000
-24,28663964;0,28379160;21,27445000
-24,27639964;0,29276410;21,72918000
-24,26615964;0,30173650;21,72918000
-24,25591964;0,30173650;21,72918000
-24,24567964;0,30173650;21,72918000
-24,23543964;0,30173650;21,72918000
-24,22519964;0,31070890;22,18543000
-24,21495964;0,31968140;22,18543000
-24,20471964;0,31968140;22,18543000
-24,19447964;0,31968140;22,18543000
-24,18423964;0,31968140;22,18543000
-24,17399964;0,33759580;22,18543000
-24,16375964;0,33759580;22,18543000
-24,15351964;0,33759580;22,18543000
-24,14327964;0,34656820;21,27445000
-24,13303964;0,34656820;21,72918000
-24,12279964;0,35554060;22,18543000
-24,11255964;0,35554060;22,18543000
-24,10231964;0,35554060;22,18543000
-24,09207964;0,35554060;21,72918000
-24,08183964;0,37348550;22,64016000
-24,07159964;0,37348550;22,18543000
-24,06135964;0,37348550;22,18543000
-24,05111964;0,38245800;22,64016000
-24,04087964;0,38245800;22,64016000
-24,03063964;0,39143040;22,18543000
-24,02039964;0,39143040;22,18543000
-24,01015964;0,40040280;22,18543000
-23,99991964;0,39143040;23,09488000
-23,98967964;0,39143040;23,09488000
-23,97943964;0,40934480;22,64016000
-23,96919964;0,40934480;22,64016000
-23,95895964;0,40934480;22,64016000
-23,94871964;0,41831720;22,64016000
-23,93847965;0,42728970;22,64016000
-23,92823965;0,42728970;22,64016000
-23,91799965;0,42728970;22,64016000
-23,90775965;0,42728970;22,64016000
-23,89751965;0,44523450;22,64016000
-23,88727965;0,44523450;23,09488000
-23,87703965;0,44523450;22,64016000
-23,86679965;0,44523450;23,09488000
-23,85655965;0,44523450;22,64016000
-23,84631965;0,45420700;23,09488000
-23,83607965;0,46317940;22,64016000
-23,82583965;0,46317940;23,09488000
-23,81559965;0,46317940;23,09488000
-23,80535965;0,46317940;23,09488000
-23,79511965;0,48112430;23,09488000
-23,78487965;0,48112430;23,09488000
-23,77463965;0,48112430;23,54961000
-23,76439965;0,48112430;23,09488000
-23,75415965;0,49006620;23,09488000
-23,74391965;0,49006620;22,64016000
-23,73367965;0,49903870;22,64016000
-23,72343965;0,49903870;23,09488000
-23,71319965;0,49903870;23,54961000
-23,70295965;0,49903870;24,00586000
-23,69271965;0,50801110;22,64016000
-23,68247965;0,51698360;23,09488000
-23,67223965;0,51698360;23,54961000
-23,66199965;0,51698360;23,09488000
-23,65175965;0,52595600;22,64016000
-23,64151965;0,52595600;23,09488000
-23,63127965;0,52595600;23,54961000
-23,62103965;0,53492840;23,54961000
-23,61079965;0,53492840;23,09488000
-23,60055965;0,53492840;23,54961000
-23,59031965;0,54390080;23,54961000
-23,58007965;0,54390080;23,54961000
-23,56983965;0,55287330;23,54961000
-23,55959965;0,55287330;23,09488000
-23,54935965;0,55287330;23,54961000
-23,53911965;0,56184580;23,54961000
-23,52887965;0,56184580;23,09488000
-23,51863965;0,57081820;24,00586000
-23,50839965;0,57081820;23,09488000
-23,49815965;0,57081820;23,09488000
-23,48791965;0,57081820;22,64016000
-23,47767965;0,57976010;23,09488000
-23,46743965;0,58873250;23,54961000
-23,45719965;0,58873250;24,00586000
-23,44695965;0,58873250;23,09488000
-23,43671965;0,58873250;23,09488000
-23,42647965;0,59770500;23,54961000
-23,41623965;0,59770500;23,54961000
-23,40599965;0,59770500;23,54961000
-23,39575965;0,60667750;24,00586000
-23,38551965;0,60667750;23,54961000
-23,37527965;0,60667750;24,00586000
-23,36503965;0,60667750;24,46058000
-23,35479965;0,61564990;23,54961000
-23,34455965;0,61564990;23,54961000
-23,33431965;0,62462230;23,54961000
-23,32407965;0,62462230;24,00586000
-23,31383965;0,63359480;24,46058000
-23,30359965;0,62462230;23,54961000
-23,29335965;0,64256720;24,00586000
-23,28311965;0,64256720;23,54961000
-23,27287965;0,64256720;24,00586000
-23,26263965;0,64256720;24,00586000
-23,25239965;0,64256720;23,54961000
-23,24215965;0,65153970;23,54961000
-23,23191965;0,65153970;23,09488000
-23,22167965;0,66048160;24,00586000
-23,21143965;0,66048160;24,00586000
-23,20119965;0,66048160;23,54961000
-23,19095965;0,66048160;23,54961000
-23,18071965;0,66048160;24,00586000
-23,17047965;0,67842640;24,00586000
-23,16023965;0,66945400;24,00586000
-23,14999965;0,67842640;24,00586000
-23,13975965;0,67842640;24,00586000
-23,12951965;0,67842640;24,00586000
-23,11927965;0,67842640;23,54961000
-23,10903965;0,68739890;23,54961000
-23,09879965;0,68739890;24,00586000
-23,08855965;0,68739890;24,00586000
-23,07831965;0,69637140;24,00586000
-23,06807965;0,69637140;24,00586000
-23,05783965;0,69637140;24,00586000
-23,04759965;0,69637140;24,00586000
-23,03735965;0,69637140;24,00586000
-23,02711965;0,70534380;24,00586000
-23,01687965;0,70534380;24,00586000
-23,00663965;0,71431620;24,00586000
-22,99639965;0,71431620;23,54961000
-22,98615965;0,71431620;23,54961000
-22,97591965;0,71431620;24,00586000
