Tiempo;Canal A;Canal B
(ms);(V);(mV)

-25,00660717;-0,01214637;-16,04358000
-24,99636717;-0,02111881;-16,04358000
-24,98612717;-0,00320444;-15,58733000
-24,97588718;-0,00320444;-15,58733000
-24,96564718;-0,00320444;-15,13260000
-24,95540718;0,00573748;-14,67788000
-24,94516718;0,01470992;-14,67788000
-24,93492718;0,01470992;-14,22315000
-24,92468718;0,01470992;-14,67788000
-24,91444718;0,01470992;-14,22315000
-24,90420718;0,02368236;-13,31217000
-24,89396718;0,03265481;-9,67131600
-24,88372718;0,03265481;4,89059100
-24,87348718;0,03265481;27,19047000
-24,86324718;0,03265481;26,73574000
-24,85300718;0,05957213;22,64016000
-24,84276718;0,05059969;23,09488000
-24,83252718;0,05957213;24,46058000
-24,82228718;0,06854457;24,46058000
-24,81204718;0,06854457;24,46058000
-24,80180718;0,06854457;24,46058000
-24,79156718;0,06854457;24,91531000
-24,78132718;0,08645894;24,91531000
-24,77108718;0,08645894;24,91531000
-24,76084718;0,08645894;24,91531000
-24,75060718;0,09543138;24,91531000
-24,74036718;0,09543138;25,37004000
-24,73012718;0,10440380;25,37004000
-24,71988718;0,10440380;25,82629000
-24,70964718;0,10440380;25,82629000
-24,69940718;0,11337630;25,37004000
-24,68916718;0,12234870;25,82629000
-24,67892718;0,12234870;26,28101000
-24,66868718;0,13132110;26,28101000
-24,65844718;0,13132110;26,28101000
-24,64820718;0,14029360;26,28101000
-24,63796718;0,14029360;26,28101000
-24,62772718;0,14029360;26,28101000
-24,61748718;0,14029360;26,28101000
-24,60724718;0,14926600;26,73574000
-24,59700718;0,15823850;26,28101000
-24,58676718;0,15823850;26,73574000
-24,57652718;0,16718040;26,73574000
-24,56628718;0,17615280;26,73574000
-24,55604718;0,17615280;26,73574000
-24,54580718;0,17615280;27,19047000
-24,53556718;0,17615280;27,19047000
-24,52532718;0,18512530;27,19047000
-24,51508718;0,19409770;27,64672000
-24,50484718;0,19409770;27,19047000
-24,49460718;0,19409770;26,73574000
-24,48436718;0,20307020;26,73574000
-24,47412718;0,20307020;27,64672000
-24,46388718;0,21204260;27,64672000
-24,45364718;0,21204260;27,64672000
-24,44340718;0,21204260;27,64672000
-24,43316718;0,22998750;27,19047000
-24,42292718;0,22998750;27,64672000
-24,41268718;0,23895990;27,64672000
-24,40244718;0,22998750;27,19047000
-24,39220718;0,22998750;27,64672000
-24,38196718;0,24790190;28,10144000
-24,37172718;0,24790190;27,64672000
-24,36148718;0,25687430;27,64672000
-24,35124718;0,26584670;28,10144000
-24,34100718;0,26584670;28,10144000
-24,33076718;0,26584670;28,10144000
-24,32052718;0,27481920;28,10144000
-24,31028718;0,27481920;28,10144000
-24,30004718;0,28379160;28,10144000
-24,28980718;0,28379160;28,55617000
-24,27956718;0,28379160;28,10144000
-24,26932718;0,28379160;28,55617000
-24,25908718;0,29276410;28,10144000
-24,24884718;0,30173650;28,10144000
-24,23860718;0,30173650;29,01089000
-24,22836718;0,30173650;28,55617000
-24,21812718;0,31070890;28,10144000
-24,20788718;0,31968140;28,10144000
-24,19764718;0,31968140;28,10144000
-24,18740718;0,31968140;28,10144000
-24,17716718;0,31968140;29,01089000
-24,16692718;0,33759580;29,01089000
-24,15668718;0,33759580;28,55617000
-24,14644718;0,33759580;28,55617000
-24,13620718;0,33759580;29,01089000
-24,12596718;0,35554060;29,01089000
-24,11572718;0,35554060;29,01089000
-24,10548718;0,35554060;28,55617000
-24,09524718;0,35554060;29,01089000
-24,08500718;0,36451310;29,01089000
-24,07476718;0,37348550;29,46715000
-24,06452718;0,37348550;29,01089000
-24,05428718;0,37348550;29,01089000
-24,04404718;0,37348550;29,01089000
-24,03380718;0,38245800;29,01089000
-24,02356718;0,38245800;29,46715000
-24,01332718;0,39143040;29,46715000
-24,00308718;0,39143040;29,46715000
-23,99284718;0,40040280;29,01089000
-23,98260718;0,40040280;29,01089000
-23,97236718;0,40040280;29,46715000
-23,96212718;0,40934480;29,46715000
-23,95188718;0,41831720;29,92187000
-23,94164718;0,41831720;29,92187000
-23,93140718;0,42728970;29,46715000
-23,92116718;0,42728970;29,01089000
-23,91092718;0,42728970;29,46715000
-23,90068718;0,42728970;29,46715000
-23,89044718;0,44523450;29,46715000
-23,88020718;0,44523450;29,46715000
-23,86996718;0,44523450;29,46715000
-23,85972718;0,44523450;29,46715000
-23,84948718;0,45420700;29,46715000
-23,83924718;0,46317940;29,46715000
-23,82900718;0,46317940;29,92187000
-23,81876718;0,46317940;29,46715000
-23,80852718;0,46317940;29,92187000
-23,79828718;0,47215180;29,92187000
-23,78804718;0,46317940;29,46715000
-23,77780718;0,48112430;29,92187000
-23,76756718;0,48112430;29,46715000
-23,75732718;0,48112430;30,37660000
-23,74708718;0,49006620;30,37660000
-23,73684718;0,49006620;29,46715000
-23,72660718;0,49006620;29,46715000
-23,71636718;0,49903870;29,92187000
-23,70612718;0,49903870;29,92187000
-23,69588718;0,51698360;29,92187000
-23,68564718;0,51698360;29,46715000
-23,67540718;0,51698360;29,92187000
-23,66516718;0,51698360;29,92187000
-23,65492718;0,51698360;29,92187000
-23,64468718;0,51698360;29,92187000
-23,63444718;0,53492840;30,37660000
-23,62420718;0,53492840;29,92187000
-23,61396718;0,53492840;29,92187000
-23,60372718;0,53492840;29,92187000
-23,59348718;0,54390080;30,37660000
-23,58324718;0,55287330;29,92187000
-23,57300718;0,55287330;30,37660000
-23,56276718;0,55287330;29,92187000
-23,55252718;0,55287330;30,37660000
-23,54228718;0,55287330;29,92187000
-23,53204718;0,56184580;30,37660000
-23,52180718;0,56184580;29,92187000
-23,51156718;0,57081820;30,37660000
-23,50132718;0,57081820;29,92187000
-23,49108718;0,57081820;29,92187000
-23,48084718;0,57081820;29,92187000
-23,47060718;0,58873250;29,92187000
-23,46036718;0,57976010;30,37660000
-23,45012718;0,58873250;29,92187000
-23,43988718;0,58873250;30,37660000
-23,42964718;0,58873250;29,92187000
-23,41940718;0,59770500;29,92187000
-23,40916718;0,59770500;29,92187000
-23,39892718;0,60667750;30,37660000
-23,38868718;0,60667750;30,37660000
-23,37844718;0,60667750;30,37660000
-23,36820718;0,60667750;30,37660000
-23,35796718;0,61564990;29,92187000
-23,34772718;0,61564990;30,83132000
-23,33748719;0,62462230;30,83132000
-23,32724719;0,62462230;29,92187000
-23,31700719;0,62462230;30,37660000
-23,30676719;0,63359480;29,92187000
-23,29652719;0,63359480;29,92187000
-23,28628719;0,64256720;30,83132000
-23,27604719;0,64256720;30,37660000
-23,26580719;0,64256720;30,37660000
-23,25556719;0,64256720;30,37660000
-23,24532719;0,64256720;30,37660000
-23,23508719;0,66048160;30,83132000
-23,22484719;0,66048160;29,92187000
-23,21460719;0,66048160;30,37660000
-23,20436719;0,66048160;30,37660000
-23,19412719;0,66048160;30,83132000
-23,18388719;0,66945400;30,37660000
-23,17364719;0,66048160;30,83132000
-23,16340719;0,66945400;30,37660000
-23,15316719;0,67842640;30,37660000
-23,14292719;0,67842640;30,37660000
-23,13268719;0,67842640;30,37660000
-23,12244719;0,67842640;30,83132000
-23,11220719;0,67842640;30,83132000
-23,10196719;0,68739890;30,83132000
-23,09172719;0,68739890;30,37660000
-23,08148719;0,68739890;30,37660000
-23,07124719;0,69637140;30,37660000
-23,06100719;0,69637140;30,37660000
-23,05076719;0,69637140;30,83132000
-23,04052719;0,70534380;30,83132000
-23,03028719;0,70534380;30,37660000
-23,02004719;0,70534380;30,83132000
-23,00980719;0,71431620;30,83132000
-22,99956719;0,71431620;30,83132000
-22,98932719;0,71431620;30,83132000
-22,97908719;0,71431620;30,37660000
-22,96884719;0,72328870;30,83132000
