Tiempo;Canal A;Canal B
(ms);(V);(mV)

-25,01139417;-0,01214637;-22,41432000
-25,00115417;-0,00320444;-21,95959000
-24,99091417;-0,00320444;-21,95959000
-24,98067417;-0,00320444;-21,50487000
-24,97043417;-0,00320444;-21,50487000
-24,96019417;0,00573748;-21,04861000
-24,94995417;0,00573748;-20,59389000
-24,93971417;0,01470992;-21,04861000
-24,92947417;0,01470992;-20,13916000
-24,91923417;0,02368236;-19,68444000
-24,90899417;0,03265481;-18,31874000
-24,89875417;0,03265481;-14,22315000
-24,88851417;0,03265481;4,89059100
-24,87827417;0,03265481;22,64016000
-24,86803417;0,03265481;19,90875000
-24,85779417;0,05059969;16,72414000
-24,84755417;0,05059969;17,63359000
-24,83731417;0,05059969;18,99930000
-24,82707417;0,06854457;18,54457000
-24,81683417;0,06854457;18,54457000
-24,80659417;0,06854457;18,99930000
-24,79635417;0,06854457;18,54457000
-24,78611417;0,08645894;19,45402000
-24,77587417;0,08645894;18,99930000
-24,76563417;0,08645894;19,45402000
-24,75539417;0,09543138;19,45402000
-24,74515417;0,10440380;19,45402000
-24,73491417;0,10440380;19,45402000
-24,72467417;0,10440380;19,45402000
-24,71443417;0,10440380;19,90875000
-24,70419417;0,12234870;19,90875000
-24,69395417;0,12234870;19,90875000
-24,68371417;0,13132110;19,90875000
-24,67347417;0,13132110;20,36500000
-24,66323418;0,13132110;20,36500000
-24,65299418;0,14029360;20,36500000
-24,64275418;0,14029360;20,36500000
-24,63251418;0,14029360;19,90875000
-24,62227418;0,14029360;20,36500000
-24,61203418;0,15823850;20,36500000
-24,60179418;0,15823850;20,36500000
-24,59155418;0,15823850;20,36500000
-24,58131418;0,16718040;20,81973000
-24,57107418;0,17615280;20,81973000
-24,56083418;0,17615280;20,81973000
-24,55059418;0,17615280;21,27445000
-24,54035418;0,17615280;20,81973000
-24,53011418;0,17615280;20,81973000
-24,51987418;0,18512530;20,81973000
-24,50963418;0,19409770;20,81973000
-24,49939418;0,20307020;20,81973000
-24,48915418;0,20307020;20,81973000
-24,47891418;0,20307020;21,72918000
-24,46867418;0,21204260;20,81973000
-24,45843418;0,21204260;21,27445000
-24,44819418;0,21204260;20,81973000
-24,43795418;0,22998750;21,72918000
-24,42771418;0,22998750;21,72918000
-24,41747418;0,22998750;21,27445000
-24,40723418;0,22998750;21,27445000
-24,39699418;0,23895990;21,72918000
-24,38675418;0,24790190;21,72918000
-24,37651418;0,24790190;21,27445000
-24,36627418;0,25687430;22,18543000
-24,35603418;0,25687430;21,72918000
-24,34579418;0,26584670;22,18543000
-24,33555418;0,26584670;22,18543000
-24,32531418;0,26584670;21,72918000
-24,31507418;0,27481920;21,27445000
-24,30483418;0,28379160;22,18543000
-24,29459418;0,28379160;22,18543000
-24,28435418;0,28379160;22,18543000
-24,27411418;0,29276410;22,18543000
-24,26387418;0,29276410;22,18543000
-24,25363418;0,30173650;21,72918000
-24,24339418;0,30173650;22,64016000
-24,23315418;0,31070890;22,18543000
-24,22291418;0,31070890;22,18543000
-24,21267418;0,31968140;22,18543000
-24,20243418;0,31968140;22,64016000
-24,19219418;0,31968140;22,18543000
-24,18195418;0,32862330;22,18543000
-24,17171418;0,31968140;22,64016000
-24,16147418;0,32862330;22,64016000
-24,15123418;0,33759580;22,18543000
-24,14099418;0,34656820;22,64016000
-24,13075418;0,34656820;22,18543000
-24,12051418;0,35554060;22,18543000
-24,11027418;0,35554060;22,64016000
-24,10003418;0,35554060;22,64016000
-24,08979418;0,35554060;22,64016000
-24,07955418;0,37348550;23,09488000
-24,06931418;0,37348550;22,64016000
-24,05907418;0,37348550;23,09488000
-24,04883418;0,37348550;22,64016000
-24,03859418;0,38245800;23,54961000
-24,02835418;0,38245800;23,09488000
-24,01811418;0,39143040;22,64016000
-24,00787418;0,39143040;23,09488000
-23,99763418;0,40040280;23,09488000
-23,98739418;0,40040280;23,09488000
-23,97715418;0,40934480;23,54961000
-23,96691418;0,40934480;23,09488000
-23,95667418;0,41831720;23,09488000
-23,94643418;0,41831720;23,54961000
-23,93619418;0,42728970;23,54961000
-23,92595418;0,42728970;23,54961000
-23,91571418;0,42728970;23,54961000
-23,90547418;0,42728970;23,09488000
-23,89523418;0,44523450;23,09488000
-23,88499418;0,43626210;23,09488000
-23,87475418;0,44523450;23,54961000
-23,86451418;0,44523450;23,54961000
-23,85427418;0,44523450;23,54961000
-23,84403418;0,44523450;24,00586000
-23,83379418;0,45420700;24,00586000
-23,82355418;0,46317940;23,54961000
-23,81331418;0,46317940;23,09488000
-23,80307418;0,46317940;23,54961000
-23,79283418;0,47215180;23,54961000
-23,78259418;0,46317940;24,00586000
-23,77235418;0,48112430;23,54961000
-23,76211418;0,48112430;23,54961000
-23,75187418;0,49006620;23,54961000
-23,74163418;0,49006620;23,09488000
-23,73139418;0,49006620;23,54961000
-23,72115418;0,49903870;23,54961000
-23,71091418;0,49903870;24,00586000
-23,70067418;0,49903870;23,54961000
-23,69043418;0,49903870;24,00586000
-23,68019418;0,51698360;24,00586000
-23,66995418;0,51698360;24,00586000
-23,65971418;0,52595600;24,00586000
-23,64947418;0,51698360;23,54961000
-23,63923418;0,52595600;24,00586000
-23,62899418;0,52595600;24,00586000
-23,61875418;0,53492840;24,00586000
-23,60851418;0,53492840;24,00586000
-23,59827418;0,53492840;24,00586000
-23,58803418;0,54390080;24,00586000
-23,57779418;0,54390080;23,09488000
-23,56755418;0,55287330;23,54961000
-23,55731418;0,55287330;24,00586000
-23,54707418;0,55287330;23,54961000
-23,53683418;0,55287330;24,00586000
-23,52659418;0,56184580;24,00586000
-23,51635418;0,57081820;24,00586000
-23,50611418;0,57081820;24,00586000
-23,49587418;0,57081820;23,54961000
-23,48563418;0,57081820;24,46058000
-23,47539418;0,57081820;24,00586000
-23,46515418;0,57976010;24,00586000
-23,45491418;0,58873250;24,46058000
-23,44467418;0,58873250;24,46058000
-23,43443418;0,58873250;24,46058000
-23,42419418;0,59770500;24,00586000
-23,41395418;0,58873250;24,00586000
-23,40371418;0,60667750;24,00586000
-23,39347418;0,60667750;24,46058000
-23,38323418;0,60667750;24,00586000
-23,37299418;0,60667750;24,00586000
-23,36275418;0,61564990;24,46058000
-23,35251418;0,60667750;24,00586000
-23,34227418;0,62462230;24,00586000
-23,33203418;0,62462230;24,00586000
-23,32179418;0,62462230;24,46058000
-23,31155418;0,62462230;24,00586000
-23,30131418;0,63359480;24,00586000
-23,29107418;0,63359480;24,46058000
-23,28083418;0,63359480;24,46058000
-23,27059418;0,64256720;24,46058000
-23,26035418;0,64256720;24,00586000
-23,25011418;0,64256720;24,46058000
-23,23987418;0,65153970;24,00586000
-23,22963418;0,64256720;24,46058000
-23,21939418;0,66048160;24,46058000
-23,20915418;0,66048160;24,46058000
-23,19891418;0,66048160;24,46058000
-23,18867418;0,66048160;24,00586000
-23,17843418;0,66048160;24,00586000
-23,16819418;0,66048160;24,46058000
-23,15795418;0,67842640;24,46058000
-23,14771418;0,66945400;24,46058000
-23,13747418;0,67842640;24,46058000
-23,12723418;0,67842640;24,00586000
-23,11699418;0,67842640;24,46058000
-23,10675418;0,68739890;24,00586000
-23,09651418;0,67842640;24,46058000
-23,08627418;0,69637140;24,46058000
-23,07603418;0,69637140;24,00586000
-23,06579418;0,69637140;24,00586000
-23,05555418;0,69637140;24,46058000
-23,04531418;0,69637140;24,00586000
-23,03507418;0,70534380;24,00586000
-23,02483418;0,69637140;24,00586000
-23,01459419;0,70534380;24,46058000
-23,00435419;0,71431620;24,46058000
-22,99411419;0,71431620;24,91531000
-22,98387419;0,71431620;24,46058000
-22,97363419;0,71431620;24,00586000
